date,Kendari,isPartial
2016-11-27,22,False
2016-12-04,19,False
2016-12-11,19,False
2016-12-18,16,False
2016-12-25,16,False
2017-01-01,21,False
2017-01-08,20,False
2017-01-15,23,False
2017-01-22,21,False
2017-01-29,24,False
2017-02-05,28,False
2017-02-12,42,False
2017-02-19,31,False
2017-02-26,23,False
2017-03-05,24,False
2017-03-12,20,False
2017-03-19,27,False
2017-03-26,19,False
2017-04-02,18,False
2017-04-09,20,False
2017-04-16,25,False
2017-04-23,23,False
2017-04-30,25,False
2017-05-07,24,False
2017-05-14,27,False
2017-05-21,29,False
2017-05-28,22,False
2017-06-04,30,False
2017-06-11,24,False
2017-06-18,21,False
2017-06-25,25,False
2017-07-02,27,False
2017-07-09,29,False
2017-07-16,23,False
2017-07-23,29,False
2017-07-30,22,False
2017-08-06,30,False
2017-08-13,32,False
2017-08-20,22,False
2017-08-27,23,False
2017-09-03,23,False
2017-09-10,45,False
2017-09-17,33,False
2017-09-24,21,False
2017-10-01,29,False
2017-10-08,27,False
2017-10-15,23,False
2017-10-22,25,False
2017-10-29,22,False
2017-11-05,24,False
2017-11-12,25,False
2017-11-19,25,False
2017-11-26,26,False
2017-12-03,27,False
2017-12-10,19,False
2017-12-17,23,False
2017-12-24,25,False
2017-12-31,32,False
2018-01-07,24,False
2018-01-14,21,False
2018-01-21,28,False
2018-01-28,29,False
2018-02-04,27,False
2018-02-11,22,False
2018-02-18,27,False
2018-02-25,47,False
2018-03-04,32,False
2018-03-11,30,False
2018-03-18,25,False
2018-03-25,23,False
2018-04-01,26,False
2018-04-08,25,False
2018-04-15,31,False
2018-04-22,23,False
2018-04-29,29,False
2018-05-06,30,False
2018-05-13,29,False
2018-05-20,28,False
2018-05-27,27,False
2018-06-03,23,False
2018-06-10,19,False
2018-06-17,27,False
2018-06-24,25,False
2018-07-01,26,False
2018-07-08,28,False
2018-07-15,31,False
2018-07-22,32,False
2018-07-29,24,False
2018-08-05,27,False
2018-08-12,27,False
2018-08-19,25,False
2018-08-26,30,False
2018-09-02,34,False
2018-09-09,30,False
2018-09-16,28,False
2018-09-23,29,False
2018-09-30,46,False
2018-10-07,29,False
2018-10-14,29,False
2018-10-21,28,False
2018-10-28,25,False
2018-11-04,30,False
2018-11-11,31,False
2018-11-18,29,False
2018-11-25,25,False
2018-12-02,33,False
2018-12-09,28,False
2018-12-16,32,False
2018-12-23,35,False
2018-12-30,32,False
2019-01-06,34,False
2019-01-13,26,False
2019-01-20,29,False
2019-01-27,26,False
2019-02-03,31,False
2019-02-10,26,False
2019-02-17,32,False
2019-02-24,30,False
2019-03-03,26,False
2019-03-10,28,False
2019-03-17,28,False
2019-03-24,28,False
2019-03-31,31,False
2019-04-07,32,False
2019-04-14,28,False
2019-04-21,29,False
2019-04-28,37,False
2019-05-05,39,False
2019-05-12,31,False
2019-05-19,28,False
2019-05-26,27,False
2019-06-02,28,False
2019-06-09,30,False
2019-06-16,31,False
2019-06-23,29,False
2019-06-30,36,False
2019-07-07,41,False
2019-07-14,34,False
2019-07-21,30,False
2019-07-28,29,False
2019-08-04,29,False
2019-08-11,28,False
2019-08-18,31,False
2019-08-25,30,False
2019-09-01,25,False
2019-09-08,31,False
2019-09-15,28,False
2019-09-22,49,False
2019-09-29,41,False
2019-10-06,100,False
2019-10-13,94,False
2019-10-20,31,False
2019-10-27,38,False
2019-11-03,35,False
2019-11-10,30,False
2019-11-17,29,False
2019-11-24,23,False
2019-12-01,25,False
2019-12-08,30,False
2019-12-15,30,False
2019-12-22,30,False
2019-12-29,33,False
2020-01-05,34,False
2020-01-12,37,False
2020-01-19,34,False
2020-01-26,33,False
2020-02-02,39,False
2020-02-09,41,False
2020-02-16,34,False
2020-02-23,31,False
2020-03-01,33,False
2020-03-08,31,False
2020-03-15,32,False
2020-03-22,41,False
2020-03-29,22,False
2020-04-05,20,False
2020-04-12,24,False
2020-04-19,23,False
2020-04-26,26,False
2020-05-03,25,False
2020-05-10,24,False
2020-05-17,22,False
2020-05-24,20,False
2020-05-31,22,False
2020-06-07,22,False
2020-06-14,25,False
2020-06-21,22,False
2020-06-28,30,False
2020-07-05,31,False
2020-07-12,25,False
2020-07-19,23,False
2020-07-26,21,False
2020-08-02,31,False
2020-08-09,25,False
2020-08-16,24,False
2020-08-23,27,False
2020-08-30,25,False
2020-09-06,27,False
2020-09-13,40,False
2020-09-20,28,False
2020-09-27,24,False
2020-10-04,23,False
2020-10-11,21,False
2020-10-18,28,False
2020-10-25,30,False
2020-11-01,26,False
2020-11-08,25,False
2020-11-15,25,False
2020-11-22,23,False
2020-11-29,25,False
2020-12-06,21,False
2020-12-13,29,False
2020-12-20,30,False
2020-12-27,30,False
2021-01-03,32,False
2021-01-10,24,False
2021-01-17,28,False
2021-01-24,31,False
2021-01-31,31,False
2021-02-07,28,False
2021-02-14,27,False
