date,Ogan Komering Ulu Selatan,isPartial
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,20,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,20,False
2017-02-05,19,False
2017-02-12,19,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,19,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,21,False
2017-06-11,21,False
2017-06-18,22,False
2017-06-25,0,False
2017-07-02,20,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,20,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,19,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,19,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,19,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,19,False
2018-01-14,18,False
2018-01-21,19,False
2018-01-28,19,False
2018-02-04,38,False
2018-02-11,38,False
2018-02-18,37,False
2018-02-25,18,False
2018-03-04,37,False
2018-03-11,37,False
2018-03-18,36,False
2018-03-25,0,False
2018-04-01,37,False
2018-04-08,18,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,19,False
2018-05-20,0,False
2018-05-27,38,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,38,False
2018-06-24,17,False
2018-07-01,16,False
2018-07-08,17,False
2018-07-15,18,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,37,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,18,False
2018-09-23,72,False
2018-09-30,54,False
2018-10-07,18,False
2018-10-14,0,False
2018-10-21,17,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,57,False
2018-11-25,18,False
2018-12-02,18,False
2018-12-09,0,False
2018-12-16,19,False
2018-12-23,61,False
2018-12-30,40,False
2019-01-06,18,False
2019-01-13,0,False
2019-01-20,37,False
2019-01-27,37,False
2019-02-03,18,False
2019-02-10,18,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,18,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,19,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,56,False
2019-05-05,18,False
2019-05-12,36,False
2019-05-19,0,False
2019-05-26,57,False
2019-06-02,45,False
2019-06-09,55,False
2019-06-16,18,False
2019-06-23,0,False
2019-06-30,71,False
2019-07-07,18,False
2019-07-14,18,False
2019-07-21,18,False
2019-07-28,0,False
2019-08-04,18,False
2019-08-11,18,False
2019-08-18,0,False
2019-08-25,52,False
2019-09-01,0,False
2019-09-08,33,False
2019-09-15,33,False
2019-09-22,17,False
2019-09-29,0,False
2019-10-06,50,False
2019-10-13,17,False
2019-10-20,16,False
2019-10-27,16,False
2019-11-03,100,False
2019-11-10,16,False
2019-11-17,32,False
2019-11-24,0,False
2019-12-01,16,False
2019-12-08,33,False
2019-12-15,86,False
2019-12-22,53,False
2019-12-29,0,False
2020-01-05,49,False
2020-01-12,15,False
2020-01-19,50,False
2020-01-26,33,False
2020-02-02,16,False
2020-02-09,48,False
2020-02-16,32,False
2020-02-23,32,False
2020-03-01,0,False
2020-03-08,31,False
2020-03-15,0,False
2020-03-22,42,False
2020-03-29,27,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,15,False
2020-04-26,0,False
2020-05-03,44,False
2020-05-10,15,False
2020-05-17,0,False
2020-05-24,50,False
2020-05-31,28,False
2020-06-07,13,False
2020-06-14,30,False
2020-06-21,16,False
2020-06-28,47,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,14,False
2020-07-26,29,False
2020-08-02,40,False
2020-08-09,27,False
2020-08-16,15,False
2020-08-23,13,False
2020-08-30,54,False
2020-09-06,39,False
2020-09-13,26,False
2020-09-20,12,False
2020-09-27,13,False
2020-10-04,0,False
2020-10-11,41,False
2020-10-18,0,False
2020-10-25,14,False
2020-11-01,40,False
2020-11-08,14,False
2020-11-15,42,False
2020-11-22,0,False
2020-11-29,37,False
2020-12-06,28,False
2020-12-13,14,False
2020-12-20,0,False
2020-12-27,32,False
2021-01-03,15,False
2021-01-10,14,False
2021-01-17,29,False
2021-01-24,14,False
2021-01-31,29,False
2021-02-07,15,False
2021-02-14,14,False
2021-02-21,42,False
2021-02-28,14,False
2021-03-07,0,False
2021-03-14,12,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,0,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,0,False
2021-05-02,45,False
2021-05-09,17,False
2021-05-16,31,False
2021-05-23,44,False
2021-05-30,28,False
2021-06-06,0,False
2021-06-13,14,False
2021-06-20,0,False
2021-06-27,29,False
2021-07-04,15,False
2021-07-11,30,False
2021-07-18,0,False
2021-07-25,14,False
2021-08-01,69,False
2021-08-08,0,False
2021-08-15,0,False
2021-08-22,14,False
2021-08-29,0,False
2021-09-05,15,False
2021-09-12,29,False
2021-09-19,29,False
2021-09-26,0,False
2021-10-03,30,False
2021-10-10,46,False
2021-10-17,31,False
2021-10-24,15,False
2021-10-31,0,False
2021-11-07,0,False
2021-11-14,17,True
