date,Muaro Jambi,isPartial
2016-11-27,26,False
2016-12-04,22,False
2016-12-11,27,False
2016-12-18,7,False
2016-12-25,18,False
2017-01-01,21,False
2017-01-08,20,False
2017-01-15,26,False
2017-01-22,27,False
2017-01-29,20,False
2017-02-05,7,False
2017-02-12,98,False
2017-02-19,43,False
2017-02-26,29,False
2017-03-05,13,False
2017-03-12,23,False
2017-03-19,30,False
2017-03-26,13,False
2017-04-02,22,False
2017-04-09,19,False
2017-04-16,12,False
2017-04-23,35,False
2017-04-30,16,False
2017-05-07,29,False
2017-05-14,41,False
2017-05-21,32,False
2017-05-28,24,False
2017-06-04,17,False
2017-06-11,24,False
2017-06-18,7,False
2017-06-25,33,False
2017-07-02,20,False
2017-07-09,27,False
2017-07-16,28,False
2017-07-23,70,False
2017-07-30,26,False
2017-08-06,29,False
2017-08-13,27,False
2017-08-20,16,False
2017-08-27,14,False
2017-09-03,23,False
2017-09-10,3,False
2017-09-17,39,False
2017-09-24,32,False
2017-10-01,29,False
2017-10-08,22,False
2017-10-15,19,False
2017-10-22,28,False
2017-10-29,16,False
2017-11-05,35,False
2017-11-12,25,False
2017-11-19,25,False
2017-11-26,38,False
2017-12-03,28,False
2017-12-10,16,False
2017-12-17,23,False
2017-12-24,10,False
2017-12-31,17,False
2018-01-07,19,False
2018-01-14,24,False
2018-01-21,22,False
2018-01-28,32,False
2018-02-04,29,False
2018-02-11,32,False
2018-02-18,31,False
2018-02-25,34,False
2018-03-04,31,False
2018-03-11,25,False
2018-03-18,28,False
2018-03-25,31,False
2018-04-01,15,False
2018-04-08,24,False
2018-04-15,34,False
2018-04-22,27,False
2018-04-29,19,False
2018-05-06,25,False
2018-05-13,10,False
2018-05-20,27,False
2018-05-27,22,False
2018-06-03,36,False
2018-06-10,21,False
2018-06-17,28,False
2018-06-24,48,False
2018-07-01,8,False
2018-07-08,29,False
2018-07-15,37,False
2018-07-22,18,False
2018-07-29,26,False
2018-08-05,11,False
2018-08-12,37,False
2018-08-19,46,False
2018-08-26,25,False
2018-09-02,31,False
2018-09-09,22,False
2018-09-16,30,False
2018-09-23,33,False
2018-09-30,67,False
2018-10-07,51,False
2018-10-14,31,False
2018-10-21,100,False
2018-10-28,49,False
2018-11-04,27,False
2018-11-11,37,False
2018-11-18,55,False
2018-11-25,48,False
2018-12-02,68,False
2018-12-09,29,False
2018-12-16,22,False
2018-12-23,34,False
2018-12-30,37,False
2019-01-06,25,False
2019-01-13,22,False
2019-01-20,28,False
2019-01-27,21,False
2019-02-03,25,False
2019-02-10,27,False
2019-02-17,24,False
2019-02-24,12,False
2019-03-03,22,False
2019-03-10,24,False
2019-03-17,18,False
2019-03-24,27,False
2019-03-31,19,False
2019-04-07,22,False
2019-04-14,34,False
2019-04-21,33,False
2019-04-28,25,False
2019-05-05,37,False
2019-05-12,31,False
2019-05-19,36,False
2019-05-26,16,False
2019-06-02,11,False
2019-06-09,19,False
2019-06-16,15,False
2019-06-23,32,False
2019-06-30,39,False
2019-07-07,48,False
2019-07-14,27,False
2019-07-21,27,False
2019-07-28,26,False
2019-08-04,21,False
2019-08-11,39,False
2019-08-18,21,False
2019-08-25,52,False
2019-09-01,48,False
2019-09-08,33,False
2019-09-15,53,False
2019-09-22,62,False
2019-09-29,31,False
2019-10-06,42,False
2019-10-13,28,False
2019-10-20,22,False
2019-10-27,25,False
2019-11-03,31,False
2019-11-10,38,False
2019-11-17,43,False
2019-11-24,27,False
2019-12-01,32,False
2019-12-08,14,False
2019-12-15,35,False
2019-12-22,24,False
2019-12-29,33,False
2020-01-05,44,False
2020-01-12,34,False
2020-01-19,31,False
2020-01-26,19,False
2020-02-02,25,False
2020-02-09,70,False
2020-02-16,43,False
2020-02-23,37,False
2020-03-01,48,False
2020-03-08,31,False
2020-03-15,27,False
2020-03-22,40,False
2020-03-29,25,False
2020-04-05,18,False
2020-04-12,33,False
2020-04-19,25,False
2020-04-26,30,False
2020-05-03,27,False
2020-05-10,33,False
2020-05-17,27,False
2020-05-24,14,False
2020-05-31,25,False
2020-06-07,32,False
2020-06-14,25,False
2020-06-21,29,False
2020-06-28,45,False
2020-07-05,30,False
2020-07-12,40,False
2020-07-19,25,False
2020-07-26,49,False
2020-08-02,45,False
2020-08-09,20,False
2020-08-16,44,False
2020-08-23,25,False
2020-08-30,43,False
2020-09-06,48,False
2020-09-13,22,False
2020-09-20,23,False
2020-09-27,30,False
2020-10-04,31,False
2020-10-11,30,False
2020-10-18,34,False
2020-10-25,29,False
2020-11-01,31,False
2020-11-08,25,False
2020-11-15,26,False
2020-11-22,37,False
2020-11-29,27,False
2020-12-06,25,False
2020-12-13,31,False
2020-12-20,29,False
2020-12-27,27,False
2021-01-03,29,False
2021-01-10,27,False
2021-01-17,17,False
2021-01-24,31,False
2021-01-31,31,False
2021-02-07,39,False
2021-02-14,34,False
2021-02-21,28,False
2021-02-28,23,False
2021-03-07,19,False
2021-03-14,27,False
2021-03-21,23,False
2021-03-28,20,False
2021-04-04,26,False
2021-04-11,40,False
2021-04-18,39,False
2021-04-25,27,False
2021-05-02,23,False
2021-05-09,35,False
2021-05-16,18,False
2021-05-23,25,False
2021-05-30,31,False
2021-06-06,20,False
2021-06-13,17,False
2021-06-20,25,False
2021-06-27,37,False
2021-07-04,46,False
2021-07-11,28,False
2021-07-18,46,False
2021-07-25,21,False
2021-08-01,33,False
2021-08-08,21,False
2021-08-15,26,False
2021-08-22,24,False
2021-08-29,22,False
2021-09-05,25,False
2021-09-12,31,False
2021-09-19,20,False
2021-09-26,37,False
2021-10-03,25,False
2021-10-10,23,False
2021-10-17,18,False
2021-10-24,27,False
2021-10-31,32,False
2021-11-07,20,False
2021-11-14,32,True
