date,Magetan,isPartial
2016-11-27,28,False
2016-12-04,34,False
2016-12-11,35,False
2016-12-18,35,False
2016-12-25,44,False
2017-01-01,42,False
2017-01-08,34,False
2017-01-15,37,False
2017-01-22,36,False
2017-01-29,39,False
2017-02-05,28,False
2017-02-12,36,False
2017-02-19,31,False
2017-02-26,41,False
2017-03-05,28,False
2017-03-12,33,False
2017-03-19,36,False
2017-03-26,30,False
2017-04-02,59,False
2017-04-09,39,False
2017-04-16,36,False
2017-04-23,38,False
2017-04-30,36,False
2017-05-07,44,False
2017-05-14,34,False
2017-05-21,38,False
2017-05-28,41,False
2017-06-04,38,False
2017-06-11,36,False
2017-06-18,39,False
2017-06-25,55,False
2017-07-02,62,False
2017-07-09,58,False
2017-07-16,39,False
2017-07-23,48,False
2017-07-30,33,False
2017-08-06,37,False
2017-08-13,37,False
2017-08-20,33,False
2017-08-27,34,False
2017-09-03,31,False
2017-09-10,31,False
2017-09-17,39,False
2017-09-24,35,False
2017-10-01,40,False
2017-10-08,41,False
2017-10-15,37,False
2017-10-22,38,False
2017-10-29,37,False
2017-11-05,42,False
2017-11-12,46,False
2017-11-19,41,False
2017-11-26,38,False
2017-12-03,37,False
2017-12-10,37,False
2017-12-17,43,False
2017-12-24,44,False
2017-12-31,50,False
2018-01-07,38,False
2018-01-14,33,False
2018-01-21,37,False
2018-01-28,46,False
2018-02-04,28,False
2018-02-11,32,False
2018-02-18,45,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,28,False
2018-03-18,37,False
2018-03-25,35,False
2018-04-01,38,False
2018-04-08,28,False
2018-04-15,38,False
2018-04-22,35,False
2018-04-29,40,False
2018-05-06,38,False
2018-05-13,40,False
2018-05-20,48,False
2018-05-27,37,False
2018-06-03,42,False
2018-06-10,49,False
2018-06-17,62,False
2018-06-24,97,False
2018-07-01,52,False
2018-07-08,42,False
2018-07-15,48,False
2018-07-22,38,False
2018-07-29,41,False
2018-08-05,36,False
2018-08-12,42,False
2018-08-19,45,False
2018-08-26,44,False
2018-09-02,39,False
2018-09-09,52,False
2018-09-16,39,False
2018-09-23,52,False
2018-09-30,37,False
2018-10-07,62,False
2018-10-14,100,False
2018-10-21,57,False
2018-10-28,45,False
2018-11-04,38,False
2018-11-11,47,False
2018-11-18,51,False
2018-11-25,57,False
2018-12-02,58,False
2018-12-09,58,False
2018-12-16,55,False
2018-12-23,65,False
2018-12-30,62,False
2019-01-06,52,False
2019-01-13,41,False
2019-01-20,38,False
2019-01-27,44,False
2019-02-03,54,False
2019-02-10,39,False
2019-02-17,51,False
2019-02-24,39,False
2019-03-03,40,False
2019-03-10,41,False
2019-03-17,38,False
2019-03-24,43,False
2019-03-31,39,False
2019-04-07,38,False
2019-04-14,48,False
2019-04-21,42,False
2019-04-28,47,False
2019-05-05,51,False
2019-05-12,45,False
2019-05-19,41,False
2019-05-26,50,False
2019-06-02,87,False
2019-06-09,63,False
2019-06-16,72,False
2019-06-23,54,False
2019-06-30,73,False
2019-07-07,57,False
2019-07-14,62,False
2019-07-21,53,False
2019-07-28,36,False
2019-08-04,54,False
2019-08-11,42,False
2019-08-18,33,False
2019-08-25,47,False
2019-09-01,38,False
2019-09-08,42,False
2019-09-15,44,False
2019-09-22,48,False
2019-09-29,44,False
2019-10-06,40,False
2019-10-13,49,False
2019-10-20,39,False
2019-10-27,46,False
2019-11-03,50,False
2019-11-10,56,False
2019-11-17,55,False
2019-11-24,44,False
2019-12-01,52,False
2019-12-08,55,False
2019-12-15,51,False
2019-12-22,72,False
2019-12-29,80,False
2020-01-05,58,False
2020-01-12,53,False
2020-01-19,56,False
2020-01-26,53,False
2020-02-02,54,False
2020-02-09,54,False
2020-02-16,48,False
2020-02-23,45,False
2020-03-01,37,False
2020-03-08,50,False
2020-03-15,44,False
2020-03-22,68,False
2020-03-29,49,False
2020-04-05,41,False
2020-04-12,44,False
2020-04-19,66,False
2020-04-26,56,False
2020-05-03,52,False
2020-05-10,46,False
2020-05-17,52,False
2020-05-24,46,False
2020-05-31,40,False
2020-06-07,40,False
2020-06-14,58,False
2020-06-21,59,False
2020-06-28,51,False
2020-07-05,58,False
2020-07-12,44,False
2020-07-19,38,False
2020-07-26,45,False
2020-08-02,45,False
2020-08-09,43,False
2020-08-16,44,False
2020-08-23,38,False
2020-08-30,47,False
2020-09-06,40,False
2020-09-13,41,False
2020-09-20,40,False
2020-09-27,40,False
2020-10-04,41,False
2020-10-11,37,False
2020-10-18,32,False
2020-10-25,43,False
2020-11-01,40,False
2020-11-08,44,False
2020-11-15,44,False
2020-11-22,45,False
2020-11-29,41,False
2020-12-06,40,False
2020-12-13,82,False
2020-12-20,52,False
2020-12-27,53,False
2021-01-03,41,False
2021-01-10,42,False
2021-01-17,38,False
2021-01-24,39,False
2021-01-31,42,False
2021-02-07,46,False
2021-02-14,40,False
2021-02-21,46,False
2021-02-28,40,False
2021-03-07,40,False
2021-03-14,39,False
2021-03-21,41,False
2021-03-28,36,False
2021-04-04,44,False
2021-04-11,44,False
2021-04-18,38,False
2021-04-25,41,False
2021-05-02,43,False
2021-05-09,44,False
2021-05-16,53,False
2021-05-23,56,False
2021-05-30,42,False
2021-06-06,44,False
2021-06-13,54,False
2021-06-20,49,False
2021-06-27,56,False
2021-07-04,47,False
2021-07-11,46,False
2021-07-18,32,False
2021-07-25,38,False
2021-08-01,37,False
2021-08-08,41,False
2021-08-15,43,False
2021-08-22,46,False
2021-08-29,40,False
2021-09-05,42,False
2021-09-12,39,False
2021-09-19,39,False
2021-09-26,43,False
2021-10-03,43,False
2021-10-10,38,False
2021-10-17,39,False
2021-10-24,38,False
2021-10-31,44,False
2021-11-07,50,False
2021-11-14,40,True
