date,Minahasa Utara,isPartial
2016-11-27,15,False
2016-12-04,9,False
2016-12-11,6,False
2016-12-18,6,False
2016-12-25,10,False
2017-01-01,6,False
2017-01-08,9,False
2017-01-15,12,False
2017-01-22,9,False
2017-01-29,12,False
2017-02-05,12,False
2017-02-12,12,False
2017-02-19,15,False
2017-02-26,6,False
2017-03-05,3,False
2017-03-12,15,False
2017-03-19,18,False
2017-03-26,15,False
2017-04-02,3,False
2017-04-09,9,False
2017-04-16,6,False
2017-04-23,18,False
2017-04-30,3,False
2017-05-07,9,False
2017-05-14,16,False
2017-05-21,10,False
2017-05-28,13,False
2017-06-04,6,False
2017-06-11,3,False
2017-06-18,7,False
2017-06-25,11,False
2017-07-02,13,False
2017-07-09,3,False
2017-07-16,6,False
2017-07-23,12,False
2017-07-30,12,False
2017-08-06,6,False
2017-08-13,9,False
2017-08-20,6,False
2017-08-27,13,False
2017-09-03,15,False
2017-09-10,12,False
2017-09-17,12,False
2017-09-24,12,False
2017-10-01,6,False
2017-10-08,12,False
2017-10-15,27,False
2017-10-22,9,False
2017-10-29,12,False
2017-11-05,21,False
2017-11-12,18,False
2017-11-19,0,False
2017-11-26,6,False
2017-12-03,18,False
2017-12-10,9,False
2017-12-17,6,False
2017-12-24,16,False
2017-12-31,3,False
2018-01-07,12,False
2018-01-14,6,False
2018-01-21,3,False
2018-01-28,12,False
2018-02-04,15,False
2018-02-11,6,False
2018-02-18,6,False
2018-02-25,12,False
2018-03-04,20,False
2018-03-11,17,False
2018-03-18,9,False
2018-03-25,15,False
2018-04-01,14,False
2018-04-08,20,False
2018-04-15,11,False
2018-04-22,9,False
2018-04-29,18,False
2018-05-06,18,False
2018-05-13,12,False
2018-05-20,8,False
2018-05-27,6,False
2018-06-03,6,False
2018-06-10,10,False
2018-06-17,18,False
2018-06-24,26,False
2018-07-01,8,False
2018-07-08,24,False
2018-07-15,11,False
2018-07-22,25,False
2018-07-29,19,False
2018-08-05,24,False
2018-08-12,6,False
2018-08-19,6,False
2018-08-26,12,False
2018-09-02,18,False
2018-09-09,6,False
2018-09-16,39,False
2018-09-23,6,False
2018-09-30,31,False
2018-10-07,14,False
2018-10-14,12,False
2018-10-21,19,False
2018-10-28,13,False
2018-11-04,8,False
2018-11-11,11,False
2018-11-18,12,False
2018-11-25,17,False
2018-12-02,17,False
2018-12-09,3,False
2018-12-16,15,False
2018-12-23,22,False
2018-12-30,16,False
2019-01-06,26,False
2019-01-13,9,False
2019-01-20,12,False
2019-01-27,3,False
2019-02-03,9,False
2019-02-10,8,False
2019-02-17,22,False
2019-02-24,17,False
2019-03-03,23,False
2019-03-10,19,False
2019-03-17,14,False
2019-03-24,22,False
2019-03-31,12,False
2019-04-07,23,False
2019-04-14,32,False
2019-04-21,11,False
2019-04-28,27,False
2019-05-05,12,False
2019-05-12,9,False
2019-05-19,14,False
2019-05-26,15,False
2019-06-02,11,False
2019-06-09,9,False
2019-06-16,14,False
2019-06-23,14,False
2019-06-30,17,False
2019-07-07,31,False
2019-07-14,0,False
2019-07-21,17,False
2019-07-28,13,False
2019-08-04,14,False
2019-08-11,20,False
2019-08-18,22,False
2019-08-25,11,False
2019-09-01,13,False
2019-09-08,10,False
2019-09-15,10,False
2019-09-22,18,False
2019-09-29,39,False
2019-10-06,21,False
2019-10-13,8,False
2019-10-20,28,False
2019-10-27,18,False
2019-11-03,8,False
2019-11-10,38,False
2019-11-17,13,False
2019-11-24,18,False
2019-12-01,13,False
2019-12-08,21,False
2019-12-15,11,False
2019-12-22,14,False
2019-12-29,20,False
2020-01-05,31,False
2020-01-12,17,False
2020-01-19,13,False
2020-01-26,100,False
2020-02-02,31,False
2020-02-09,10,False
2020-02-16,23,False
2020-02-23,22,False
2020-03-01,17,False
2020-03-08,29,False
2020-03-15,23,False
2020-03-22,18,False
2020-03-29,11,False
2020-04-05,4,False
2020-04-12,15,False
2020-04-19,9,False
2020-04-26,5,False
2020-05-03,16,False
2020-05-10,16,False
2020-05-17,15,False
2020-05-24,10,False
2020-05-31,22,False
2020-06-07,17,False
2020-06-14,14,False
2020-06-21,15,False
2020-06-28,20,False
2020-07-05,10,False
2020-07-12,5,False
2020-07-19,13,False
2020-07-26,11,False
2020-08-02,13,False
2020-08-09,21,False
2020-08-16,28,False
2020-08-23,17,False
2020-08-30,27,False
2020-09-06,16,False
2020-09-13,28,False
2020-09-20,27,False
2020-09-27,30,False
2020-10-04,29,False
