date,Muna,isPartial
2016-11-27,44,False
2016-12-04,35,False
2016-12-11,40,False
2016-12-18,40,False
2016-12-25,32,False
2017-01-01,40,False
2017-01-08,39,False
2017-01-15,46,False
2017-01-22,47,False
2017-01-29,30,False
2017-02-05,33,False
2017-02-12,38,False
2017-02-19,49,False
2017-02-26,32,False
2017-03-05,37,False
2017-03-12,67,False
2017-03-19,58,False
2017-03-26,32,False
2017-04-02,56,False
2017-04-09,24,False
2017-04-16,36,False
2017-04-23,37,False
2017-04-30,63,False
2017-05-07,46,False
2017-05-14,31,False
2017-05-21,38,False
2017-05-28,29,False
2017-06-04,46,False
2017-06-11,20,False
2017-06-18,45,False
2017-06-25,44,False
2017-07-02,51,False
2017-07-09,36,False
2017-07-16,43,False
2017-07-23,61,False
2017-07-30,46,False
2017-08-06,64,False
2017-08-13,55,False
2017-08-20,62,False
2017-08-27,37,False
2017-09-03,38,False
2017-09-10,45,False
2017-09-17,53,False
2017-09-24,63,False
2017-10-01,64,False
2017-10-08,58,False
2017-10-15,47,False
2017-10-22,47,False
2017-10-29,57,False
2017-11-05,26,False
2017-11-12,34,False
2017-11-19,50,False
2017-11-26,29,False
2017-12-03,47,False
2017-12-10,42,False
2017-12-17,62,False
2017-12-24,48,False
2017-12-31,36,False
2018-01-07,34,False
2018-01-14,40,False
2018-01-21,44,False
2018-01-28,58,False
2018-02-04,47,False
2018-02-11,74,False
2018-02-18,68,False
2018-02-25,44,False
2018-03-04,49,False
2018-03-11,54,False
2018-03-18,53,False
2018-03-25,75,False
2018-04-01,46,False
2018-04-08,43,False
2018-04-15,36,False
2018-04-22,35,False
2018-04-29,66,False
2018-05-06,39,False
2018-05-13,54,False
2018-05-20,43,False
2018-05-27,72,False
2018-06-03,30,False
2018-06-10,100,False
2018-06-17,89,False
2018-06-24,42,False
2018-07-01,30,False
2018-07-08,31,False
2018-07-15,41,False
2018-07-22,29,False
2018-07-29,46,False
2018-08-05,40,False
2018-08-12,36,False
2018-08-19,24,False
2018-08-26,18,False
2018-09-02,39,False
2018-09-09,49,False
