date,Ogan Komering Ilir,isPartial
2016-11-27,0,False
2016-12-04,16,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,34,False
2017-01-01,0,False
2017-01-08,49,False
2017-01-15,47,False
2017-01-22,16,False
2017-01-29,16,False
2017-02-05,16,False
2017-02-12,16,False
2017-02-19,32,False
2017-02-26,32,False
2017-03-05,47,False
2017-03-12,31,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,16,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,16,False
2017-04-30,31,False
2017-05-07,16,False
2017-05-14,0,False
2017-05-21,17,False
2017-05-28,17,False
2017-06-04,50,False
2017-06-11,0,False
2017-06-18,35,False
2017-06-25,0,False
2017-07-02,50,False
2017-07-09,33,False
2017-07-16,34,False
2017-07-23,32,False
2017-07-30,31,False
2017-08-06,16,False
2017-08-13,0,False
2017-08-20,32,False
2017-08-27,33,False
2017-09-03,32,False
2017-09-10,15,False
2017-09-17,31,False
2017-09-24,15,False
2017-10-01,16,False
2017-10-08,15,False
2017-10-15,15,False
2017-10-22,0,False
2017-10-29,15,False
2017-11-05,0,False
2017-11-12,92,False
2017-11-19,61,False
2017-11-26,0,False
2017-12-03,15,False
2017-12-10,16,False
2017-12-17,48,False
2017-12-24,66,False
2017-12-31,0,False
2018-01-07,61,False
2018-01-14,15,False
2018-01-21,15,False
2018-01-28,15,False
2018-02-04,15,False
2018-02-11,31,False
2018-02-18,15,False
2018-02-25,45,False
2018-03-04,30,False
2018-03-11,60,False
2018-03-18,30,False
2018-03-25,0,False
2018-04-01,45,False
2018-04-08,30,False
2018-04-15,30,False
2018-04-22,15,False
2018-04-29,15,False
2018-05-06,15,False
2018-05-13,31,False
2018-05-20,15,False
2018-05-27,16,False
2018-06-03,16,False
2018-06-10,17,False
2018-06-17,15,False
2018-06-24,27,False
2018-07-01,27,False
2018-07-08,14,False
2018-07-15,45,False
2018-07-22,57,False
2018-07-29,0,False
2018-08-05,42,False
2018-08-12,30,False
2018-08-19,16,False
2018-08-26,15,False
2018-09-02,31,False
2018-09-09,15,False
2018-09-16,0,False
2018-09-23,89,False
2018-09-30,30,False
2018-10-07,29,False
2018-10-14,45,False
2018-10-21,100,False
2018-10-28,42,False
2018-11-04,44,False
2018-11-11,30,False
2018-11-18,78,False
2018-11-25,59,False
2018-12-02,30,False
2018-12-09,62,False
2018-12-16,15,False
2018-12-23,33,False
2018-12-30,16,False
2019-01-06,45,False
2019-01-13,30,False
2019-01-20,15,False
2019-01-27,15,False
2019-02-03,30,False
2019-02-10,29,False
2019-02-17,15,False
2019-02-24,73,False
2019-03-03,30,False
2019-03-10,43,False
2019-03-17,14,False
2019-03-24,44,False
2019-03-31,31,False
2019-04-07,45,False
2019-04-14,90,False
2019-04-21,29,False
2019-04-28,0,False
2019-05-05,15,False
2019-05-12,0,False
2019-05-19,44,False
2019-05-26,15,False
2019-06-02,18,False
2019-06-09,15,False
2019-06-16,29,False
2019-06-23,14,False
2019-06-30,29,False
2019-07-07,15,False
2019-07-14,44,False
2019-07-21,0,False
2019-07-28,28,False
2019-08-04,58,False
2019-08-11,44,False
2019-08-18,14,False
2019-08-25,14,False
2019-09-01,55,False
2019-09-08,94,False
2019-09-15,0,False
2019-09-22,14,False
2019-09-29,27,False
2019-10-06,0,False
2019-10-13,69,False
2019-10-20,26,False
2019-10-27,54,False
2019-11-03,14,False
2019-11-10,26,False
2019-11-17,79,False
2019-11-24,26,False
2019-12-01,39,False
2019-12-08,0,False
2019-12-15,14,False
2019-12-22,29,False
2019-12-29,29,False
2020-01-05,54,False
2020-01-12,63,False
2020-01-19,27,False
2020-01-26,27,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,26,False
2020-02-23,52,False
2020-03-01,0,False
2020-03-08,25,False
2020-03-15,12,False
2020-03-22,46,False
2020-03-29,44,False
2020-04-05,45,False
2020-04-12,57,False
2020-04-19,72,False
2020-04-26,0,False
2020-05-03,12,False
2020-05-10,0,False
2020-05-17,27,False
2020-05-24,27,False
2020-05-31,11,False
2020-06-07,33,False
2020-06-14,25,False
2020-06-21,13,False
2020-06-28,38,False
2020-07-05,13,False
2020-07-12,12,False
2020-07-19,11,False
2020-07-26,36,False
2020-08-02,0,False
2020-08-09,11,False
2020-08-16,24,False
2020-08-23,44,False
2020-08-30,22,False
2020-09-06,32,False
2020-09-13,94,False
2020-09-20,30,False
2020-09-27,21,False
2020-10-04,43,False
2020-10-11,45,False
2020-10-18,55,False
2020-10-25,59,False
2020-11-01,65,False
2020-11-08,22,False
2020-11-15,57,False
2020-11-22,33,False
2020-11-29,20,False
2020-12-06,34,False
2020-12-13,35,False
2020-12-20,0,False
2020-12-27,40,False
2021-01-03,12,False
2021-01-10,47,False
2021-01-17,59,False
2021-01-24,59,False
2021-01-31,23,False
2021-02-07,36,False
2021-02-14,47,False
2021-02-21,0,False
2021-02-28,56,False
2021-03-07,23,False
2021-03-14,71,False
2021-03-21,22,False
2021-03-28,60,False
2021-04-04,35,False
2021-04-11,36,False
2021-04-18,82,False
2021-04-25,24,False
2021-05-02,12,False
2021-05-09,28,False
2021-05-16,50,False
2021-05-23,24,False
2021-05-30,58,False
2021-06-06,22,False
2021-06-13,12,False
2021-06-20,25,False
2021-06-27,48,False
2021-07-04,37,False
2021-07-11,61,False
2021-07-18,87,False
2021-07-25,11,False
2021-08-01,45,False
2021-08-08,23,False
2021-08-15,11,False
2021-08-22,35,False
2021-08-29,58,False
2021-09-05,36,False
2021-09-12,35,False
2021-09-19,83,False
2021-09-26,49,False
2021-10-03,61,False
2021-10-10,25,False
2021-10-17,38,False
2021-10-24,60,False
2021-10-31,36,False
2021-11-07,50,False
2021-11-14,28,True
