date,Nias Selatan,isPartial
2016-11-27,0,False
2016-12-04,17,False
2016-12-11,9,False
2016-12-18,6,False
2016-12-25,9,False
2017-01-01,3,False
2017-01-08,9,False
2017-01-15,6,False
2017-01-22,6,False
2017-01-29,9,False
2017-02-05,6,False
2017-02-12,14,False
2017-02-19,100,False
2017-02-26,3,False
2017-03-05,14,False
2017-03-12,6,False
2017-03-19,6,False
2017-03-26,12,False
2017-04-02,3,False
2017-04-09,6,False
2017-04-16,8,False
2017-04-23,14,False
2017-04-30,6,False
2017-05-07,11,False
2017-05-14,12,False
2017-05-21,0,False
2017-05-28,15,False
2017-06-04,9,False
2017-06-11,12,False
2017-06-18,13,False
2017-06-25,0,False
2017-07-02,6,False
2017-07-09,12,False
2017-07-16,9,False
2017-07-23,6,False
2017-07-30,20,False
2017-08-06,14,False
2017-08-13,12,False
2017-08-20,12,False
2017-08-27,18,False
2017-09-03,12,False
2017-09-10,6,False
2017-09-17,6,False
2017-09-24,6,False
2017-10-01,14,False
2017-10-08,11,False
2017-10-15,8,False
2017-10-22,14,False
2017-10-29,0,False
2017-11-05,8,False
2017-11-12,17,False
2017-11-19,17,False
2017-11-26,14,False
2017-12-03,11,False
2017-12-10,9,False
2017-12-17,12,False
2017-12-24,6,False
2017-12-31,18,False
2018-01-07,8,False
2018-01-14,5,False
2018-01-21,17,False
2018-01-28,14,False
2018-02-04,6,False
2018-02-11,3,False
2018-02-18,8,False
2018-02-25,3,False
2018-03-04,3,False
2018-03-11,16,False
2018-03-18,8,False
2018-03-25,0,False
2018-04-01,14,False
2018-04-08,22,False
2018-04-15,14,False
2018-04-22,5,False
2018-04-29,3,False
2018-05-06,3,False
2018-05-13,6,False
2018-05-20,5,False
2018-05-27,0,False
2018-06-03,6,False
2018-06-10,6,False
2018-06-17,11,False
2018-06-24,12,False
2018-07-01,12,False
2018-07-08,5,False
2018-07-15,11,False
2018-07-22,10,False
2018-07-29,15,False
2018-08-05,8,False
2018-08-12,11,False
2018-08-19,12,False
2018-08-26,14,False
2018-09-02,6,False
2018-09-09,14,False
2018-09-16,5,False
2018-09-23,32,False
2018-09-30,30,False
2018-10-07,11,False
2018-10-14,11,False
2018-10-21,18,False
2018-10-28,8,False
2018-11-04,8,False
2018-11-11,24,False
2018-11-18,11,False
2018-11-25,11,False
2018-12-02,11,False
2018-12-09,11,False
2018-12-16,8,False
2018-12-23,3,False
2018-12-30,9,False
2019-01-06,11,False
2019-01-13,11,False
2019-01-20,17,False
2019-01-27,16,False
2019-02-03,8,False
2019-02-10,18,False
2019-02-17,16,False
2019-02-24,11,False
2019-03-03,14,False
2019-03-10,21,False
2019-03-17,11,False
2019-03-24,19,False
2019-03-31,6,False
2019-04-07,16,False
