date,Kolaka Utara,isPartial
2016-11-27,14,False
2016-12-04,18,False
2016-12-11,14,False
2016-12-18,19,False
2016-12-25,5,False
2017-01-01,14,False
2017-01-08,0,False
2017-01-15,4,False
2017-01-22,5,False
2017-01-29,5,False
2017-02-05,18,False
2017-02-12,85,False
2017-02-19,0,False
2017-02-26,22,False
2017-03-05,9,False
2017-03-12,13,False
2017-03-19,18,False
2017-03-26,18,False
2017-04-02,9,False
2017-04-09,9,False
2017-04-16,9,False
2017-04-23,18,False
2017-04-30,17,False
2017-05-07,13,False
2017-05-14,18,False
2017-05-21,14,False
2017-05-28,14,False
2017-06-04,19,False
2017-06-11,5,False
2017-06-18,5,False
2017-06-25,17,False
2017-07-02,9,False
2017-07-09,23,False
2017-07-16,14,False
2017-07-23,9,False
2017-07-30,9,False
2017-08-06,18,False
2017-08-13,9,False
2017-08-20,4,False
2017-08-27,28,False
2017-09-03,4,False
2017-09-10,4,False
2017-09-17,31,False
2017-09-24,9,False
2017-10-01,17,False
2017-10-08,4,False
2017-10-15,100,False
2017-10-22,74,False
2017-10-29,26,False
2017-11-05,17,False
2017-11-12,13,False
2017-11-19,13,False
2017-11-26,9,False
2017-12-03,9,False
2017-12-10,4,False
2017-12-17,4,False
2017-12-24,9,False
2017-12-31,14,False
2018-01-07,9,False
2018-01-14,4,False
2018-01-21,21,False
2018-01-28,22,False
2018-02-04,13,False
2018-02-11,13,False
2018-02-18,34,False
2018-02-25,13,False
2018-03-04,8,False
2018-03-11,25,False
2018-03-18,17,False
2018-03-25,17,False
2018-04-01,34,False
2018-04-08,8,False
2018-04-15,13,False
2018-04-22,0,False
2018-04-29,13,False
2018-05-06,4,False
2018-05-13,9,False
2018-05-20,12,False
2018-05-27,13,False
2018-06-03,9,False
2018-06-10,15,False
2018-06-17,13,False
2018-06-24,12,False
2018-07-01,15,False
2018-07-08,20,False
2018-07-15,21,False
2018-07-22,8,False
2018-07-29,20,False
2018-08-05,4,False
2018-08-12,9,False
2018-08-19,13,False
2018-08-26,0,False
2018-09-02,9,False
2018-09-09,30,False
2018-09-16,21,False
2018-09-23,25,False
