date,Kubu Raya,isPartial
2016-11-27,46,False
2016-12-04,14,False
2016-12-11,4,False
2016-12-18,18,False
2016-12-25,19,False
2017-01-01,22,False
2017-01-08,29,False
2017-01-15,35,False
2017-01-22,29,False
2017-01-29,18,False
2017-02-05,32,False
2017-02-12,11,False
2017-02-19,18,False
2017-02-26,28,False
2017-03-05,14,False
2017-03-12,31,False
2017-03-19,28,False
2017-03-26,31,False
2017-04-02,17,False
2017-04-09,31,False
2017-04-16,17,False
2017-04-23,17,False
2017-04-30,31,False
2017-05-07,17,False
2017-05-14,51,False
2017-05-21,34,False
2017-05-28,26,False
2017-06-04,41,False
2017-06-11,15,False
2017-06-18,31,False
2017-06-25,13,False
2017-07-02,40,False
2017-07-09,29,False
2017-07-16,30,False
2017-07-23,32,False
2017-07-30,24,False
2017-08-06,24,False
2017-08-13,18,False
2017-08-20,38,False
2017-08-27,22,False
2017-09-03,31,False
2017-09-10,14,False
2017-09-17,14,False
2017-09-24,21,False
2017-10-01,21,False
2017-10-08,37,False
2017-10-15,21,False
2017-10-22,38,False
2017-10-29,30,False
2017-11-05,31,False
2017-11-12,27,False
2017-11-19,20,False
2017-11-26,31,False
2017-12-03,24,False
2017-12-10,31,False
2017-12-17,25,False
2017-12-24,29,False
2017-12-31,21,False
2018-01-07,47,False
2018-01-14,29,False
2018-01-21,27,False
2018-01-28,17,False
2018-02-04,48,False
2018-02-11,45,False
2018-02-18,41,False
2018-02-25,37,False
2018-03-04,37,False
2018-03-11,47,False
2018-03-18,59,False
2018-03-25,34,False
2018-04-01,23,False
2018-04-08,33,False
2018-04-15,40,False
2018-04-22,36,False
2018-04-29,37,False
2018-05-06,34,False
2018-05-13,17,False
2018-05-20,29,False
2018-05-27,17,False
2018-06-03,31,False
2018-06-10,38,False
2018-06-17,31,False
2018-06-24,100,False
2018-07-01,30,False
2018-07-08,52,False
2018-07-15,46,False
2018-07-22,28,False
2018-07-29,37,False
2018-08-05,18,False
2018-08-12,27,False
2018-08-19,32,False
2018-08-26,34,False
2018-09-02,17,False
2018-09-09,30,False
2018-09-16,52,False
2018-09-23,29,False
2018-09-30,33,False
2018-10-07,26,False
2018-10-14,27,False
2018-10-21,51,False
2018-10-28,37,False
2018-11-04,42,False
2018-11-11,46,False
2018-11-18,42,False
2018-11-25,29,False
2018-12-02,47,False
2018-12-09,59,False
2018-12-16,41,False
2018-12-23,48,False
2018-12-30,36,False
2019-01-06,46,False
2019-01-13,57,False
2019-01-20,10,False
2019-01-27,30,False
2019-02-03,50,False
2019-02-10,48,False
2019-02-17,42,False
2019-02-24,52,False
2019-03-03,60,False
2019-03-10,48,False
2019-03-17,41,False
2019-03-24,51,False
2019-03-31,48,False
2019-04-07,47,False
2019-04-14,47,False
2019-04-21,46,False
2019-04-28,24,False
2019-05-05,53,False
2019-05-12,59,False
2019-05-19,45,False
2019-05-26,48,False
2019-06-02,24,False
2019-06-09,43,False
2019-06-16,51,False
2019-06-23,41,False
2019-06-30,71,False
2019-07-07,61,False
2019-07-14,45,False
2019-07-21,45,False
2019-07-28,34,False
2019-08-04,42,False
2019-08-11,49,False
2019-08-18,32,False
2019-08-25,53,False
2019-09-01,31,False
2019-09-08,60,False
2019-09-15,39,False
2019-09-22,33,False
2019-09-29,21,False
2019-10-06,27,False
2019-10-13,30,False
2019-10-20,20,False
2019-10-27,51,False
2019-11-03,24,False
2019-11-10,71,False
2019-11-17,67,False
2019-11-24,35,False
2019-12-01,49,False
2019-12-08,42,False
2019-12-15,53,False
2019-12-22,55,False
2019-12-29,39,False
2020-01-05,39,False
2020-01-12,28,False
2020-01-19,57,False
2020-01-26,38,False
2020-02-02,53,False
2020-02-09,38,False
2020-02-16,44,False
2020-02-23,63,False
2020-03-01,40,False
2020-03-08,31,False
2020-03-15,24,False
2020-03-22,30,False
2020-03-29,25,False
2020-04-05,55,False
2020-04-12,33,False
2020-04-19,45,False
2020-04-26,40,False
2020-05-03,46,False
2020-05-10,30,False
2020-05-17,44,False
2020-05-24,52,False
2020-05-31,47,False
2020-06-07,29,False
2020-06-14,58,False
2020-06-21,40,False
2020-06-28,37,False
2020-07-05,52,False
2020-07-12,49,False
2020-07-19,27,False
2020-07-26,50,False
2020-08-02,36,False
2020-08-09,38,False
2020-08-16,48,False
2020-08-23,36,False
2020-08-30,51,False
2020-09-06,36,False
2020-09-13,54,False
2020-09-20,29,False
2020-09-27,49,False
2020-10-04,41,False
2020-10-11,42,False
2020-10-18,42,False
2020-10-25,26,False
2020-11-01,51,False
2020-11-08,57,False
2020-11-15,30,False
2020-11-22,22,False
2020-11-29,43,False
2020-12-06,42,False
2020-12-13,37,False
2020-12-20,45,False
2020-12-27,41,False
2021-01-03,58,False
2021-01-10,39,False
2021-01-17,45,False
2021-01-24,42,False
2021-01-31,34,False
2021-02-07,42,False
2021-02-14,47,False
2021-02-21,71,False
2021-02-28,32,False
2021-03-07,30,False
2021-03-14,31,False
2021-03-21,40,False
2021-03-28,42,False
2021-04-04,55,False
2021-04-11,83,False
2021-04-18,39,False
2021-04-25,37,False
2021-05-02,30,False
2021-05-09,41,False
2021-05-16,50,False
2021-05-23,42,False
2021-05-30,54,False
2021-06-06,37,False
2021-06-13,44,False
2021-06-20,41,False
2021-06-27,61,False
2021-07-04,58,False
2021-07-11,81,False
2021-07-18,50,False
2021-07-25,47,False
2021-08-01,40,False
2021-08-08,23,False
2021-08-15,35,False
2021-08-22,47,False
2021-08-29,46,False
2021-09-05,27,False
2021-09-12,44,False
2021-09-19,50,False
2021-09-26,32,False
2021-10-03,35,False
2021-10-10,42,False
2021-10-17,25,False
2021-10-24,32,False
2021-10-31,53,False
2021-11-07,28,False
2021-11-14,56,True
