date,Lamandau,isPartial
2016-11-27,27,False
2016-12-04,34,False
2016-12-11,27,False
2016-12-18,27,False
2016-12-25,9,False
2017-01-01,64,False
2017-01-08,27,False
2017-01-15,35,False
2017-01-22,27,False
2017-01-29,27,False
2017-02-05,17,False
2017-02-12,17,False
2017-02-19,27,False
2017-02-26,43,False
2017-03-05,17,False
2017-03-12,26,False
2017-03-19,26,False
2017-03-26,35,False
2017-04-02,60,False
2017-04-09,17,False
2017-04-16,17,False
2017-04-23,17,False
2017-04-30,34,False
2017-05-07,52,False
2017-05-14,18,False
2017-05-21,19,False
2017-05-28,37,False
2017-06-04,65,False
2017-06-11,28,False
2017-06-18,29,False
2017-06-25,11,False
2017-07-02,55,False
2017-07-09,99,False
2017-07-16,46,False
2017-07-23,44,False
2017-07-30,17,False
2017-08-06,34,False
2017-08-13,36,False
2017-08-20,43,False
2017-08-27,27,False
2017-09-03,35,False
2017-09-10,34,False
2017-09-17,34,False
2017-09-24,51,False
2017-10-01,34,False
2017-10-08,25,False
2017-10-15,25,False
2017-10-22,25,False
2017-10-29,17,False
2017-11-05,8,False
2017-11-12,17,False
2017-11-19,67,False
2017-11-26,34,False
2017-12-03,17,False
2017-12-10,43,False
2017-12-17,26,False
2017-12-24,9,False
2017-12-31,18,False
2018-01-07,17,False
2018-01-14,24,False
2018-01-21,50,False
2018-01-28,42,False
2018-02-04,25,False
2018-02-11,34,False
2018-02-18,42,False
2018-02-25,25,False
2018-03-04,33,False
2018-03-11,41,False
2018-03-18,25,False
2018-03-25,33,False
2018-04-01,25,False
2018-04-08,49,False
2018-04-15,16,False
2018-04-22,41,False
2018-04-29,25,False
2018-05-06,51,False
2018-05-13,17,False
2018-05-20,49,False
2018-05-27,43,False
2018-06-03,43,False
2018-06-10,19,False
2018-06-17,42,False
2018-06-24,75,False
2018-07-01,37,False
2018-07-08,53,False
2018-07-15,49,False
2018-07-22,55,False
2018-07-29,23,False
2018-08-05,23,False
2018-08-12,42,False
2018-08-19,52,False
2018-08-26,34,False
2018-09-02,34,False
2018-09-09,84,False
2018-09-16,56,False
2018-09-23,89,False
2018-09-30,41,False
2018-10-07,32,False
2018-10-14,25,False
2018-10-21,94,False
2018-10-28,38,False
2018-11-04,56,False
2018-11-11,82,False
2018-11-18,43,False
2018-11-25,65,False
2018-12-02,25,False
2018-12-09,34,False
2018-12-16,42,False
2018-12-23,55,False
2018-12-30,81,False
2019-01-06,57,False
2019-01-13,41,False
2019-01-20,17,False
2019-01-27,25,False
2019-02-03,41,False
2019-02-10,32,False
2019-02-17,48,False
2019-02-24,40,False
2019-03-03,25,False
2019-03-10,16,False
2019-03-17,24,False
2019-03-24,40,False
2019-03-31,59,False
2019-04-07,33,False
2019-04-14,66,False
2019-04-21,16,False
2019-04-28,25,False
2019-05-05,58,False
2019-05-12,57,False
2019-05-19,24,False
2019-05-26,42,False
2019-06-02,0,False
2019-06-09,41,False
2019-06-16,32,False
2019-06-23,55,False
2019-06-30,88,False
2019-07-07,96,False
2019-07-14,89,False
2019-07-21,63,False
2019-07-28,77,False
2019-08-04,48,False
2019-08-11,49,False
2019-08-18,39,False
2019-08-25,70,False
2019-09-01,61,False
2019-09-08,59,False
2019-09-15,22,False
2019-09-22,52,False
2019-09-29,45,False
2019-10-06,82,False
2019-10-13,38,False
2019-10-20,29,False
