date,Minahasa Tenggara,isPartial
2016-11-27,0,False
2016-12-04,16,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,17,False
2017-01-01,34,False
2017-01-08,17,False
2017-01-15,16,False
2017-01-22,17,False
2017-01-29,16,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,16,False
2017-02-26,32,False
2017-03-05,0,False
2017-03-12,16,False
2017-03-19,33,False
2017-03-26,32,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,16,False
2017-04-30,47,False
2017-05-07,64,False
2017-05-14,100,False
2017-05-21,52,False
2017-05-28,17,False
2017-06-04,17,False
2017-06-11,0,False
2017-06-18,18,False
2017-06-25,0,False
2017-07-02,17,False
2017-07-09,17,False
2017-07-16,17,False
2017-07-23,16,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,16,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,32,False
2017-09-10,16,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,16,False
2017-10-08,16,False
2017-10-15,16,False
2017-10-22,16,False
2017-10-29,46,False
2017-11-05,78,False
2017-11-12,15,False
2017-11-19,16,False
2017-11-26,16,False
2017-12-03,15,False
2017-12-10,16,False
2017-12-17,32,False
2017-12-24,0,False
2017-12-31,33,False
2018-01-07,0,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,47,False
2018-02-11,31,False
2018-02-18,15,False
2018-02-25,31,False
2018-03-04,31,False
2018-03-11,15,False
2018-03-18,15,False
2018-03-25,15,False
2018-04-01,30,False
2018-04-08,15,False
2018-04-15,0,False
2018-04-22,15,False
2018-04-29,16,False
2018-05-06,16,False
2018-05-13,0,False
2018-05-20,45,False
2018-05-27,16,False
2018-06-03,32,False
2018-06-10,17,False
2018-06-17,16,False
2018-06-24,83,False
2018-07-01,14,False
2018-07-08,28,False
2018-07-15,0,False
2018-07-22,14,False
2018-07-29,29,False
2018-08-05,28,False
2018-08-12,0,False
2018-08-19,32,False
2018-08-26,31,False
2018-09-02,16,False
2018-09-09,31,False
2018-09-16,74,False
2018-09-23,45,False
2018-09-30,90,False
2018-10-07,15,False
2018-10-14,46,False
2018-10-21,14,False
2018-10-28,42,False
2018-11-04,0,False
2018-11-11,15,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,46,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,17,False
2018-12-30,17,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,15,False
2019-01-27,30,False
2019-02-03,15,False
2019-02-10,15,False
2019-02-17,59,False
2019-02-24,15,False
2019-03-03,0,False
2019-03-10,15,False
2019-03-17,15,False
2019-03-24,29,False
2019-03-31,16,False
2019-04-07,46,False
2019-04-14,31,False
2019-04-21,15,False
2019-04-28,31,False
2019-05-05,15,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,37,False
2019-06-09,0,False
2019-06-16,15,False
2019-06-23,15,False
2019-06-30,30,False
2019-07-07,59,False
2019-07-14,15,False
2019-07-21,29,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,0,False
2019-09-01,42,False
2019-09-08,0,False
2019-09-15,14,False
2019-09-22,28,False
2019-09-29,28,False
2019-10-06,0,False
2019-10-13,14,False
2019-10-20,13,False
2019-10-27,55,False
2019-11-03,0,False
2019-11-10,94,False
2019-11-17,40,False
2019-11-24,27,False
2019-12-01,13,False
2019-12-08,14,False
2019-12-15,28,False
2019-12-22,15,False
2019-12-29,15,False
2020-01-05,14,False
2020-01-12,26,False
2020-01-19,41,False
2020-01-26,41,False
2020-02-02,14,False
2020-02-09,40,False
2020-02-16,54,False
2020-02-23,39,False
2020-03-01,26,False
2020-03-08,77,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,11,False
2020-04-05,34,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,25,False
2020-05-03,0,False
2020-05-10,62,False
2020-05-17,14,False
2020-05-24,14,False
2020-05-31,69,False
2020-06-07,34,False
2020-06-14,25,False
2020-06-21,39,False
2020-06-28,0,False
2020-07-05,40,False
2020-07-12,0,False
2020-07-19,23,False
2020-07-26,36,False
2020-08-02,67,False
2020-08-09,11,False
2020-08-16,36,False
2020-08-23,67,False
2020-08-30,22,False
2020-09-06,54,False
2020-09-13,0,False
2020-09-20,10,False
2020-09-27,11,False
2020-10-04,11,False
2020-10-11,0,False
2020-10-18,11,False
2020-10-25,24,False
2020-11-01,11,False
2020-11-08,34,False
2020-11-15,34,False
2020-11-22,0,False
2020-11-29,41,False
2020-12-06,34,False
2020-12-13,84,False
2020-12-20,0,False
2020-12-27,27,False
2021-01-03,24,False
2021-01-10,36,False
2021-01-17,24,False
2021-01-24,47,False
2021-01-31,47,False
2021-02-07,60,False
2021-02-14,24,False
2021-02-21,46,False
2021-02-28,34,False
2021-03-07,12,False
2021-03-14,51,False
2021-03-21,0,False
2021-03-28,48,False
2021-04-04,36,False
2021-04-11,37,False
2021-04-18,12,False
2021-04-25,36,False
2021-05-02,25,False
2021-05-09,14,False
2021-05-16,26,False
2021-05-23,48,False
2021-05-30,35,False
2021-06-06,45,False
2021-06-13,12,False
2021-06-20,0,False
2021-06-27,24,False
2021-07-04,13,False
2021-07-11,37,False
2021-07-18,25,False
2021-07-25,34,False
2021-08-01,11,False
2021-08-08,12,False
2021-08-15,0,False
2021-08-22,24,False
2021-08-29,12,False
2021-09-05,24,False
2021-09-12,24,False
2021-09-19,60,False
2021-09-26,12,False
2021-10-03,12,False
2021-10-10,25,False
2021-10-17,13,False
2021-10-24,37,False
2021-10-31,0,False
2021-11-07,63,False
2021-11-14,28,True
