date,Nganjuk,isPartial
2016-11-27,23,False
2016-12-04,37,False
2016-12-11,30,False
2016-12-18,25,False
2016-12-25,32,False
2017-01-01,31,False
2017-01-08,21,False
2017-01-15,23,False
2017-01-22,21,False
2017-01-29,27,False
2017-02-05,21,False
2017-02-12,25,False
2017-02-19,31,False
2017-02-26,25,False
2017-03-05,21,False
2017-03-12,26,False
2017-03-19,31,False
2017-03-26,22,False
2017-04-02,26,False
2017-04-09,46,False
2017-04-16,24,False
2017-04-23,25,False
2017-04-30,24,False
2017-05-07,24,False
2017-05-14,25,False
2017-05-21,27,False
2017-05-28,30,False
2017-06-04,27,False
2017-06-11,25,False
2017-06-18,29,False
2017-06-25,44,False
2017-07-02,29,False
2017-07-09,30,False
2017-07-16,25,False
2017-07-23,28,False
2017-07-30,27,False
2017-08-06,26,False
2017-08-13,24,False
2017-08-20,25,False
2017-08-27,30,False
2017-09-03,24,False
2017-09-10,27,False
2017-09-17,29,False
2017-09-24,27,False
2017-10-01,24,False
2017-10-08,29,False
2017-10-15,29,False
2017-10-22,46,False
2017-10-29,34,False
2017-11-05,28,False
2017-11-12,23,False
2017-11-19,26,False
2017-11-26,27,False
2017-12-03,23,False
2017-12-10,29,False
2017-12-17,30,False
2017-12-24,40,False
2017-12-31,29,False
2018-01-07,26,False
2018-01-14,28,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,27,False
2018-02-11,26,False
2018-02-18,23,False
2018-02-25,25,False
2018-03-04,21,False
2018-03-11,30,False
2018-03-18,22,False
2018-03-25,26,False
2018-04-01,21,False
2018-04-08,26,False
2018-04-15,25,False
2018-04-22,23,False
2018-04-29,30,False
2018-05-06,26,False
2018-05-13,28,False
2018-05-20,32,False
2018-05-27,31,False
2018-06-03,32,False
2018-06-10,42,False
2018-06-17,34,False
2018-06-24,49,False
2018-07-01,35,False
2018-07-08,36,False
2018-07-15,30,False
2018-07-22,26,False
2018-07-29,23,False
2018-08-05,21,False
2018-08-12,26,False
2018-08-19,24,False
2018-08-26,27,False
2018-09-02,25,False
2018-09-09,29,False
2018-09-16,29,False
2018-09-23,28,False
2018-09-30,29,False
2018-10-07,27,False
2018-10-14,30,False
2018-10-21,33,False
2018-10-28,24,False
2018-11-04,29,False
2018-11-11,37,False
2018-11-18,32,False
2018-11-25,33,False
2018-12-02,35,False
2018-12-09,30,False
2018-12-16,45,False
2018-12-23,38,False
2018-12-30,45,False
2019-01-06,35,False
2019-01-13,39,False
2019-01-20,33,False
2019-01-27,26,False
2019-02-03,31,False
2019-02-10,31,False
2019-02-17,31,False
2019-02-24,27,False
2019-03-03,36,False
2019-03-10,22,False
2019-03-17,28,False
2019-03-24,29,False
2019-03-31,31,False
2019-04-07,33,False
2019-04-14,29,False
2019-04-21,41,False
2019-04-28,30,False
2019-05-05,38,False
2019-05-12,34,False
2019-05-19,31,False
2019-05-26,41,False
2019-06-02,50,False
2019-06-09,39,False
2019-06-16,41,False
2019-06-23,33,False
2019-06-30,36,False
2019-07-07,32,False
2019-07-14,34,False
2019-07-21,35,False
2019-07-28,33,False
2019-08-04,32,False
2019-08-11,33,False
2019-08-18,31,False
2019-08-25,28,False
2019-09-01,30,False
2019-09-08,100,False
2019-09-15,34,False
2019-09-22,26,False
2019-09-29,38,False
2019-10-06,30,False
2019-10-13,31,False
2019-10-20,32,False
2019-10-27,31,False
2019-11-03,27,False
2019-11-10,37,False
2019-11-17,37,False
2019-11-24,37,False
2019-12-01,32,False
2019-12-08,33,False
2019-12-15,40,False
2019-12-22,50,False
2019-12-29,41,False
2020-01-05,32,False
2020-01-12,32,False
2020-01-19,41,False
2020-01-26,32,False
2020-02-02,32,False
2020-02-09,32,False
2020-02-16,33,False
2020-02-23,32,False
2020-03-01,29,False
2020-03-08,34,False
2020-03-15,27,False
2020-03-22,34,False
2020-03-29,30,False
2020-04-05,28,False
2020-04-12,23,False
2020-04-19,37,False
2020-04-26,35,False
2020-05-03,33,False
2020-05-10,32,False
2020-05-17,32,False
2020-05-24,35,False
2020-05-31,32,False
2020-06-07,34,False
2020-06-14,33,False
2020-06-21,45,False
2020-06-28,43,False
2020-07-05,46,False
2020-07-12,39,False
2020-07-19,25,False
2020-07-26,33,False
2020-08-02,31,False
2020-08-09,28,False
2020-08-16,30,False
2020-08-23,33,False
2020-08-30,36,False
2020-09-06,32,False
2020-09-13,29,False
2020-09-20,24,False
2020-09-27,27,False
2020-10-04,31,False
2020-10-11,28,False
2020-10-18,27,False
2020-10-25,37,False
2020-11-01,22,False
2020-11-08,25,False
2020-11-15,29,False
2020-11-22,26,False
2020-11-29,29,False
2020-12-06,33,False
2020-12-13,32,False
2020-12-20,33,False
2020-12-27,37,False
2021-01-03,35,False
2021-01-10,27,False
2021-01-17,29,False
2021-01-24,29,False
2021-01-31,26,False
2021-02-07,28,False
2021-02-14,63,False
2021-02-21,33,False
2021-02-28,33,False
2021-03-07,28,False
2021-03-14,32,False
2021-03-21,27,False
2021-03-28,33,False
2021-04-04,29,False
2021-04-11,32,False
2021-04-18,35,False
2021-04-25,27,False
2021-05-02,31,False
2021-05-09,95,False
2021-05-16,41,False
2021-05-23,36,False
2021-05-30,39,False
2021-06-06,33,False
2021-06-13,31,False
2021-06-20,32,False
2021-06-27,40,False
2021-07-04,35,False
2021-07-11,29,False
2021-07-18,30,False
2021-07-25,24,False
2021-08-01,26,False
2021-08-08,24,False
2021-08-15,27,False
2021-08-22,26,False
2021-08-29,24,False
2021-09-05,29,False
2021-09-12,26,False
2021-09-19,28,False
2021-09-26,22,False
2021-10-03,26,False
2021-10-10,27,False
2021-10-17,27,False
