date,Karawang,isPartial
2016-11-27,32,False
2016-12-04,29,False
2016-12-11,34,False
2016-12-18,32,False
2016-12-25,37,False
2017-01-01,36,False
2017-01-08,37,False
2017-01-15,35,False
2017-01-22,34,False
2017-01-29,36,False
2017-02-05,36,False
2017-02-12,32,False
2017-02-19,31,False
2017-02-26,29,False
2017-03-05,29,False
2017-03-12,30,False
2017-03-19,35,False
2017-03-26,39,False
2017-04-02,33,False
2017-04-09,34,False
2017-04-16,34,False
2017-04-23,36,False
2017-04-30,35,False
2017-05-07,33,False
2017-05-14,34,False
2017-05-21,32,False
2017-05-28,31,False
2017-06-04,33,False
2017-06-11,34,False
2017-06-18,34,False
2017-06-25,45,False
2017-07-02,43,False
2017-07-09,43,False
2017-07-16,41,False
2017-07-23,38,False
2017-07-30,40,False
2017-08-06,38,False
2017-08-13,37,False
2017-08-20,36,False
2017-08-27,39,False
2017-09-03,38,False
2017-09-10,39,False
2017-09-17,37,False
2017-09-24,37,False
2017-10-01,41,False
2017-10-08,38,False
2017-10-15,40,False
2017-10-22,37,False
2017-10-29,38,False
2017-11-05,37,False
2017-11-12,39,False
2017-11-19,39,False
2017-11-26,39,False
2017-12-03,42,False
2017-12-10,50,False
2017-12-17,47,False
2017-12-24,49,False
2017-12-31,49,False
2018-01-07,43,False
2018-01-14,41,False
2018-01-21,46,False
2018-01-28,42,False
2018-02-04,41,False
2018-02-11,42,False
2018-02-18,43,False
2018-02-25,38,False
2018-03-04,40,False
2018-03-11,39,False
2018-03-18,38,False
2018-03-25,44,False
2018-04-01,44,False
2018-04-08,41,False
2018-04-15,41,False
2018-04-22,42,False
2018-04-29,43,False
2018-05-06,49,False
2018-05-13,40,False
2018-05-20,37,False
2018-05-27,44,False
2018-06-03,41,False
2018-06-10,37,False
2018-06-17,47,False
2018-06-24,45,False
2018-07-01,43,False
2018-07-08,51,False
2018-07-15,50,False
2018-07-22,45,False
2018-07-29,42,False
2018-08-05,43,False
2018-08-12,44,False
2018-08-19,44,False
2018-08-26,42,False
2018-09-02,47,False
2018-09-09,50,False
2018-09-16,46,False
2018-09-23,44,False
2018-09-30,44,False
2018-10-07,47,False
2018-10-14,48,False
2018-10-21,45,False
2018-10-28,83,False
2018-11-04,45,False
2018-11-11,48,False
2018-11-18,78,False
2018-11-25,100,False
2018-12-02,64,False
2018-12-09,56,False
2018-12-16,53,False
2018-12-23,51,False
2018-12-30,58,False
2019-01-06,53,False
2019-01-13,47,False
2019-01-20,53,False
2019-01-27,47,False
2019-02-03,52,False
2019-02-10,47,False
2019-02-17,42,False
2019-02-24,53,False
2019-03-03,48,False
2019-03-10,42,False
2019-03-17,45,False
2019-03-24,50,False
2019-03-31,45,False
2019-04-07,46,False
2019-04-14,41,False
2019-04-21,45,False
2019-04-28,45,False
2019-05-05,48,False
2019-05-12,45,False
2019-05-19,44,False
2019-05-26,40,False
2019-06-02,42,False
2019-06-09,61,False
2019-06-16,62,False
2019-06-23,58,False
2019-06-30,59,False
2019-07-07,52,False
2019-07-14,48,False
2019-07-21,50,False
2019-07-28,48,False
2019-08-04,44,False
2019-08-11,45,False
2019-08-18,48,False
2019-08-25,46,False
2019-09-01,45,False
2019-09-08,52,False
2019-09-15,44,False
2019-09-22,47,False
2019-09-29,47,False
2019-10-06,49,False
2019-10-13,48,False
2019-10-20,43,False
2019-10-27,44,False
2019-11-03,49,False
2019-11-10,49,False
2019-11-17,50,False
2019-11-24,44,False
2019-12-01,45,False
2019-12-08,46,False
2019-12-15,52,False
2019-12-22,58,False
2019-12-29,60,False
2020-01-05,47,False
2020-01-12,47,False
2020-01-19,48,False
2020-01-26,49,False
2020-02-02,49,False
2020-02-09,50,False
2020-02-16,59,False
2020-02-23,51,False
2020-03-01,47,False
2020-03-08,47,False
2020-03-15,36,False
2020-03-22,45,False
2020-03-29,30,False
2020-04-05,30,False
2020-04-12,28,False
2020-04-19,32,False
2020-04-26,34,False
2020-05-03,30,False
2020-05-10,30,False
2020-05-17,30,False
2020-05-24,36,False
2020-05-31,36,False
2020-06-07,38,False
2020-06-14,43,False
2020-06-21,39,False
2020-06-28,47,False
2020-07-05,43,False
2020-07-12,35,False
2020-07-19,32,False
2020-07-26,33,False
2020-08-02,35,False
2020-08-09,38,False
2020-08-16,35,False
2020-08-23,36,False
2020-08-30,34,False
2020-09-06,36,False
2020-09-13,36,False
2020-09-20,33,False
2020-09-27,30,False
2020-10-04,32,False
2020-10-11,35,False
2020-10-18,37,False
2020-10-25,39,False
2020-11-01,35,False
2020-11-08,37,False
2020-11-15,36,False
2020-11-22,38,False
2020-11-29,36,False
2020-12-06,48,False
2020-12-13,38,False
2020-12-20,41,False
2020-12-27,42,False
2021-01-03,43,False
2021-01-10,40,False
2021-01-17,36,False
2021-01-24,37,False
2021-01-31,38,False
2021-02-07,39,False
2021-02-14,41,False
2021-02-21,37,False
2021-02-28,37,False
2021-03-07,33,False
2021-03-14,33,False
2021-03-21,37,False
2021-03-28,36,False
2021-04-04,38,False
2021-04-11,39,False
2021-04-18,40,False
2021-04-25,37,False
2021-05-02,37,False
2021-05-09,38,False
2021-05-16,45,False
2021-05-23,45,False
2021-05-30,40,False
2021-06-06,45,False
2021-06-13,45,False
2021-06-20,41,False
2021-06-27,38,False
2021-07-04,37,False
2021-07-11,34,False
2021-07-18,33,False
2021-07-25,32,False
2021-08-01,35,False
2021-08-08,37,False
2021-08-15,34,False
2021-08-22,37,False
2021-08-29,36,False
2021-09-05,37,False
2021-09-12,35,False
2021-09-19,38,False
2021-09-26,43,False
2021-10-03,41,False
2021-10-10,37,False
2021-10-17,37,False
2021-10-24,38,False
2021-10-31,37,False
2021-11-07,39,False
2021-11-14,41,True
