date,Natuna,isPartial
2020-07-05,1,False
2020-07-12,1,False
2020-07-19,2,False
2020-07-26,2,False
2020-08-02,2,False
2020-08-09,2,False
2020-08-16,2,False
2020-08-23,2,False
2020-08-30,2,False
2020-09-06,2,False
2020-09-13,3,False
2020-09-20,2,False
2020-09-27,2,False
2020-10-04,2,False
2020-10-11,2,False
2020-10-18,2,False
2020-10-25,2,False
2020-11-01,2,False
2020-11-08,1,False
2020-11-15,1,False
2020-11-22,2,False
2020-11-29,2,False
2020-12-06,2,False
2020-12-13,1,False
2020-12-20,1,False
2020-12-27,1,False
2021-01-03,2,False
2021-01-10,1,False
2021-01-17,2,False
2021-01-24,2,False
2021-01-31,1,False
2021-02-07,1,False
2021-02-14,1,False
2021-02-21,2,False
2021-02-28,1,False
2021-03-07,1,False
2021-03-14,2,False
2021-03-21,1,False
2021-03-28,2,False
2021-04-04,2,False
2021-04-11,1,False
2021-04-18,2,False
2021-04-25,1,False
2021-05-02,1,False
2021-05-09,1,False
2021-05-16,2,False
2021-05-23,1,False
2021-05-30,1,False
2021-06-06,1,False
2021-06-13,2,False
2021-06-20,1,False
2021-06-27,2,False
2021-07-04,1,False
2021-07-11,1,False
2021-07-18,2,False
2021-07-25,1,False
2021-08-01,2,False
2021-08-08,1,False
2021-08-15,1,False
2021-08-22,2,False
2021-08-29,2,False
2021-09-05,1,False
2021-09-12,3,False
2021-09-19,2,False
2021-09-26,2,False
2021-10-03,2,False
2021-10-10,1,False
2021-10-17,2,False
2021-10-24,1,False
2021-10-31,1,False
2021-11-07,1,False
2021-11-14,2,True
