date,Lahat,isPartial
2016-11-27,31,False
2016-12-04,61,False
2016-12-11,49,False
2016-12-18,47,False
2016-12-25,40,False
2017-01-01,37,False
2017-01-08,31,False
2017-01-15,27,False
2017-01-22,32,False
2017-01-29,23,False
2017-02-05,41,False
2017-02-12,30,False
2017-02-19,36,False
2017-02-26,26,False
2017-03-05,22,False
2017-03-12,38,False
2017-03-19,40,False
2017-03-26,41,False
2017-04-02,37,False
2017-04-09,25,False
2017-04-16,36,False
2017-04-23,42,False
2017-04-30,33,False
2017-05-07,29,False
2017-05-14,32,False
2017-05-21,28,False
2017-05-28,37,False
2017-06-04,36,False
2017-06-11,43,False
2017-06-18,41,False
2017-06-25,40,False
2017-07-02,39,False
2017-07-09,41,False
2017-07-16,38,False
2017-07-23,40,False
2017-07-30,17,False
2017-08-06,30,False
2017-08-13,27,False
2017-08-20,30,False
2017-08-27,40,False
2017-09-03,40,False
2017-09-10,36,False
2017-09-17,36,False
2017-09-24,29,False
2017-10-01,35,False
2017-10-08,30,False
2017-10-15,26,False
2017-10-22,39,False
2017-10-29,32,False
2017-11-05,42,False
2017-11-12,21,False
2017-11-19,27,False
2017-11-26,35,False
2017-12-03,31,False
2017-12-10,31,False
2017-12-17,40,False
2017-12-24,39,False
2017-12-31,42,False
2018-01-07,33,False
2018-01-14,36,False
2018-01-21,43,False
2018-01-28,31,False
2018-02-04,34,False
2018-02-11,42,False
2018-02-18,38,False
2018-02-25,34,False
2018-03-04,41,False
2018-03-11,47,False
2018-03-18,48,False
2018-03-25,39,False
2018-04-01,33,False
2018-04-08,41,False
2018-04-15,28,False
2018-04-22,21,False
2018-04-29,38,False
2018-05-06,33,False
2018-05-13,40,False
2018-05-20,32,False
2018-05-27,30,False
2018-06-03,39,False
2018-06-10,42,False
2018-06-17,52,False
2018-06-24,100,False
2018-07-01,41,False
2018-07-08,44,False
2018-07-15,50,False
2018-07-22,38,False
2018-07-29,49,False
2018-08-05,34,False
2018-08-12,41,False
2018-08-19,35,False
2018-08-26,41,False
2018-09-02,33,False
2018-09-09,42,False
2018-09-16,38,False
2018-09-23,34,False
2018-09-30,32,False
2018-10-07,37,False
2018-10-14,28,False
2018-10-21,39,False
2018-10-28,27,False
2018-11-04,27,False
2018-11-11,34,False
2018-11-18,41,False
