date,Kepulauan Sangihe,isPartial
2016-11-27,20,False
2016-12-04,0,False
2016-12-11,21,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,21,False
2017-01-15,100,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,40,False
2017-02-12,20,False
2017-02-19,0,False
2017-02-26,20,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,20,False
2017-04-09,20,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,20,False
2017-05-14,21,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,0,False
2017-06-11,21,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,21,False
2017-07-09,0,False
2017-07-16,43,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,20,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,20,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,20,False
2017-10-08,77,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,20,False
2017-12-03,38,False
2017-12-10,20,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,20,False
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,19,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,19,False
2018-03-11,38,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,19,False
2018-04-08,19,False
2018-04-15,0,False
2018-04-22,37,False
2018-04-29,0,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,19,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,35,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,18,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,19,False
2018-09-02,19,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,37,False
2018-09-30,37,False
2018-10-07,55,False
2018-10-14,0,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,18,False
2018-11-11,19,False
2018-11-18,0,False
2018-11-25,19,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,18,False
2019-02-17,0,False
2019-02-24,18,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,18,False
2019-03-24,0,False
2019-03-31,19,False
2019-04-07,38,False
2019-04-14,19,False
2019-04-21,0,False
2019-04-28,39,False
2019-05-05,19,False
2019-05-12,19,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,18,False
2019-06-30,0,False
2019-07-07,18,False
2019-07-14,0,False
2019-07-21,18,False
2019-07-28,18,False
2019-08-04,18,False
2019-08-11,19,False
2019-08-18,18,False
2019-08-25,36,False
2019-09-01,17,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,34,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,33,False
2019-10-27,0,False
2019-11-03,34,False
2019-11-10,33,False
2019-11-17,17,False
2019-11-24,0,False
2019-12-01,17,False
2019-12-08,34,False
2019-12-15,18,False
2019-12-22,0,False
2019-12-29,56,False
2020-01-05,17,False
2020-01-12,0,False
2020-01-19,17,False
2020-01-26,0,False
2020-02-02,51,False
2020-02-09,0,False
2020-02-16,50,False
2020-02-23,33,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,0,False
2020-04-05,14,False
2020-04-12,43,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,31,False
2020-05-10,0,False
2020-05-17,17,False
2020-05-24,0,False
2020-05-31,14,False
2020-06-07,14,False
2020-06-14,0,False
2020-06-21,16,False
2020-06-28,0,False
2020-07-05,0,False
2020-07-12,31,False
2020-07-19,0,False
2020-07-26,0,False
2020-08-02,14,False
2020-08-09,14,False
2020-08-16,0,False
2020-08-23,14,False
2020-08-30,0,False
2020-09-06,27,False
2020-09-13,0,False
2020-09-20,26,False
2020-09-27,13,False
2020-10-04,14,False
2020-10-11,42,False
2020-10-18,28,False
2020-10-25,15,False
2020-11-01,27,False
2020-11-08,28,False
2020-11-15,14,False
2020-11-22,0,False
2020-11-29,26,False
2020-12-06,0,False
2020-12-13,15,False
2020-12-20,16,False
2020-12-27,33,False
2021-01-03,0,False
2021-01-10,30,False
2021-01-17,15,False
2021-01-24,15,False
2021-01-31,15,False
2021-02-07,0,False
2021-02-14,15,False
2021-02-21,29,False
2021-02-28,42,False
2021-03-07,0,False
2021-03-14,13,False
2021-03-21,14,False
2021-03-28,30,False
2021-04-04,0,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,15,False
2021-05-02,0,False
2021-05-09,0,False
2021-05-16,32,False
2021-05-23,30,False
2021-05-30,29,False
2021-06-06,83,False
2021-06-13,74,False
2021-06-20,0,False
2021-06-27,45,False
2021-07-04,0,False
2021-07-11,0,False
2021-07-18,47,False
2021-07-25,14,False
2021-08-01,43,False
2021-08-08,14,False
2021-08-15,28,False
2021-08-22,0,False
2021-08-29,29,False
2021-09-05,15,False
2021-09-12,30,False
2021-09-19,0,False
2021-09-26,15,False
2021-10-03,15,False
2021-10-10,16,False
2021-10-17,32,False
2021-10-24,30,False
2021-10-31,15,False
2021-11-07,16,False
2021-11-14,35,True
