date,Karimun,isPartial
2016-11-27,43,False
2016-12-04,42,False
2016-12-11,52,False
2016-12-18,45,False
2016-12-25,56,False
2017-01-01,47,False
2017-01-08,45,False
2017-01-15,43,False
2017-01-22,38,False
2017-01-29,46,False
2017-02-05,34,False
2017-02-12,37,False
2017-02-19,40,False
2017-02-26,39,False
2017-03-05,41,False
2017-03-12,41,False
2017-03-19,43,False
2017-03-26,37,False
2017-04-02,36,False
2017-04-09,40,False
2017-04-16,40,False
2017-04-23,35,False
2017-04-30,33,False
2017-05-07,43,False
2017-05-14,40,False
2017-05-21,35,False
2017-05-28,33,False
2017-06-04,41,False
2017-06-11,38,False
2017-06-18,44,False
2017-06-25,52,False
2017-07-02,47,False
2017-07-09,52,False
2017-07-16,35,False
2017-07-23,46,False
2017-07-30,41,False
2017-08-06,38,False
2017-08-13,38,False
2017-08-20,35,False
2017-08-27,39,False
2017-09-03,31,False
2017-09-10,38,False
2017-09-17,29,False
2017-09-24,37,False
2017-10-01,36,False
2017-10-08,39,False
2017-10-15,41,False
2017-10-22,38,False
2017-10-29,34,False
2017-11-05,41,False
2017-11-12,36,False
2017-11-19,45,False
2017-11-26,39,False
2017-12-03,38,False
2017-12-10,44,False
2017-12-17,45,False
2017-12-24,41,False
2017-12-31,51,False
2018-01-07,40,False
2018-01-14,45,False
2018-01-21,37,False
2018-01-28,40,False
2018-02-04,40,False
2018-02-11,42,False
2018-02-18,37,False
2018-02-25,42,False
2018-03-04,39,False
2018-03-11,39,False
2018-03-18,37,False
2018-03-25,40,False
2018-04-01,43,False
2018-04-08,37,False
2018-04-15,43,False
2018-04-22,46,False
2018-04-29,41,False
2018-05-06,44,False
2018-05-13,38,False
2018-05-20,38,False
2018-05-27,42,False
2018-06-03,43,False
2018-06-10,41,False
2018-06-17,45,False
2018-06-24,47,False
2018-07-01,46,False
2018-07-08,42,False
2018-07-15,37,False
2018-07-22,39,False
2018-07-29,34,False
2018-08-05,33,False
2018-08-12,35,False
2018-08-19,35,False
2018-08-26,41,False
2018-09-02,37,False
2018-09-09,44,False
2018-09-16,45,False
2018-09-23,42,False
2018-09-30,42,False
2018-10-07,45,False
2018-10-14,44,False
2018-10-21,41,False
2018-10-28,40,False
2018-11-04,45,False
2018-11-11,42,False
2018-11-18,47,False
2018-11-25,42,False
2018-12-02,39,False
2018-12-09,45,False
2018-12-16,56,False
2018-12-23,52,False
2018-12-30,57,False
2019-01-06,51,False
2019-01-13,44,False
2019-01-20,42,False
2019-01-27,44,False
2019-02-03,42,False
2019-02-10,37,False
2019-02-17,40,False
2019-02-24,40,False
2019-03-03,40,False
2019-03-10,48,False
2019-03-17,45,False
2019-03-24,44,False
2019-03-31,46,False
2019-04-07,52,False
2019-04-14,51,False
2019-04-21,41,False
2019-04-28,39,False
2019-05-05,41,False
2019-05-12,58,False
2019-05-19,34,False
2019-05-26,53,False
2019-06-02,58,False
2019-06-09,54,False
2019-06-16,51,False
2019-06-23,50,False
2019-06-30,52,False
2019-07-07,52,False
2019-07-14,52,False
2019-07-21,47,False
2019-07-28,52,False
2019-08-04,42,False
2019-08-11,38,False
2019-08-18,40,False
2019-08-25,47,False
2019-09-01,43,False
2019-09-08,36,False
2019-09-15,31,False
2019-09-22,43,False
2019-09-29,38,False
2019-10-06,42,False
2019-10-13,40,False
2019-10-20,45,False
2019-10-27,47,False
2019-11-03,43,False
2019-11-10,40,False
2019-11-17,43,False
2019-11-24,44,False
2019-12-01,43,False
2019-12-08,47,False
2019-12-15,42,False
2019-12-22,64,False
2019-12-29,62,False
2020-01-05,43,False
2020-01-12,49,False
2020-01-19,45,False
2020-01-26,43,False
2020-02-02,36,False
2020-02-09,50,False
2020-02-16,49,False
2020-02-23,48,False
2020-03-01,42,False
2020-03-08,46,False
2020-03-15,27,False
2020-03-22,25,False
2020-03-29,25,False
2020-04-05,25,False
2020-04-12,100,False
2020-04-19,28,False
2020-04-26,28,False
2020-05-03,30,False
2020-05-10,32,False
2020-05-17,27,False
2020-05-24,37,False
2020-05-31,32,False
2020-06-07,29,False
2020-06-14,38,False
2020-06-21,39,False
2020-06-28,34,False
2020-07-05,31,False
2020-07-12,32,False
2020-07-19,24,False
2020-07-26,33,False
2020-08-02,33,False
2020-08-09,32,False
2020-08-16,36,False
2020-08-23,31,False
2020-08-30,32,False
2020-09-06,33,False
2020-09-13,25,False
2020-09-20,27,False
2020-09-27,30,False
2020-10-04,34,False
2020-10-11,30,False
2020-10-18,34,False
2020-10-25,31,False
2020-11-01,32,False
2020-11-08,33,False
2020-11-15,34,False
2020-11-22,36,False
2020-11-29,37,False
2020-12-06,50,False
2020-12-13,43,False
2020-12-20,40,False
2020-12-27,42,False
2021-01-03,37,False
2021-01-10,31,False
2021-01-17,29,False
2021-01-24,30,False
2021-01-31,32,False
2021-02-07,26,False
2021-02-14,30,False
2021-02-21,29,False
2021-02-28,36,False
2021-03-07,30,False
2021-03-14,28,False
2021-03-21,33,False
2021-03-28,32,False
2021-04-04,28,False
2021-04-11,33,False
2021-04-18,37,False
2021-04-25,35,False
2021-05-02,33,False
2021-05-09,31,False
2021-05-16,35,False
2021-05-23,42,False
2021-05-30,40,False
2021-06-06,31,False
2021-06-13,29,False
2021-06-20,33,False
2021-06-27,31,False
2021-07-04,23,False
2021-07-11,19,False
2021-07-18,22,False
2021-07-25,25,False
2021-08-01,30,False
2021-08-08,28,False
2021-08-15,27,False
2021-08-22,26,False
2021-08-29,30,False
2021-09-05,26,False
2021-09-12,27,False
2021-09-19,30,False
2021-09-26,29,False
2021-10-03,27,False
2021-10-10,25,False
2021-10-17,23,False
2021-10-24,26,False
2021-10-31,23,False
2021-11-07,24,False
2021-11-14,28,True
