date,Ketapang,isPartial
2016-11-27,19,False
2016-12-04,17,False
2016-12-11,22,False
2016-12-18,22,False
2016-12-25,19,False
2017-01-01,22,False
2017-01-08,21,False
2017-01-15,21,False
2017-01-22,18,False
2017-01-29,22,False
2017-02-05,18,False
2017-02-12,17,False
2017-02-19,25,False
2017-02-26,20,False
2017-03-05,25,False
2017-03-12,26,False
2017-03-19,22,False
2017-03-26,20,False
2017-04-02,21,False
2017-04-09,18,False
2017-04-16,20,False
2017-04-23,23,False
2017-04-30,21,False
2017-05-07,22,False
2017-05-14,26,False
2017-05-21,26,False
2017-05-28,28,False
2017-06-04,28,False
2017-06-11,42,False
2017-06-18,63,False
2017-06-25,32,False
2017-07-02,33,False
2017-07-09,31,False
2017-07-16,27,False
2017-07-23,24,False
2017-07-30,24,False
2017-08-06,31,False
2017-08-13,26,False
2017-08-20,25,False
2017-08-27,22,False
2017-09-03,23,False
2017-09-10,23,False
2017-09-17,22,False
2017-09-24,22,False
2017-10-01,21,False
2017-10-08,27,False
2017-10-15,20,False
2017-10-22,25,False
2017-10-29,19,False
2017-11-05,23,False
2017-11-12,21,False
2017-11-19,19,False
2017-11-26,33,False
2017-12-03,24,False
2017-12-10,26,False
2017-12-17,25,False
2017-12-24,35,False
2017-12-31,30,False
2018-01-07,24,False
2018-01-14,26,False
2018-01-21,24,False
2018-01-28,25,False
2018-02-04,25,False
2018-02-11,29,False
2018-02-18,25,False
2018-02-25,22,False
2018-03-04,26,False
2018-03-11,28,False
2018-03-18,26,False
2018-03-25,27,False
2018-04-01,20,False
2018-04-08,32,False
2018-04-15,26,False
2018-04-22,28,False
2018-04-29,27,False
2018-05-06,28,False
2018-05-13,31,False
2018-05-20,30,False
2018-05-27,35,False
2018-06-03,61,False
2018-06-10,60,False
2018-06-17,37,False
2018-06-24,29,False
2018-07-01,29,False
2018-07-08,41,False
2018-07-15,28,False
2018-07-22,29,False
2018-07-29,27,False
2018-08-05,23,False
2018-08-12,26,False
2018-08-19,31,False
2018-08-26,25,False
2018-09-02,25,False
2018-09-09,25,False
2018-09-16,27,False
2018-09-23,23,False
2018-09-30,27,False
2018-10-07,26,False
2018-10-14,26,False
2018-10-21,29,False
2018-10-28,26,False
2018-11-04,25,False
2018-11-11,27,False
2018-11-18,29,False
2018-11-25,32,False
2018-12-02,29,False
2018-12-09,25,False
2018-12-16,38,False
2018-12-23,42,False
2018-12-30,39,False
2019-01-06,33,False
2019-01-13,34,False
2019-01-20,23,False
2019-01-27,29,False
2019-02-03,28,False
2019-02-10,25,False
2019-02-17,22,False
2019-02-24,31,False
2019-03-03,29,False
2019-03-10,30,False
2019-03-17,25,False
2019-03-24,26,False
2019-03-31,29,False
2019-04-07,28,False
2019-04-14,34,False
2019-04-21,29,False
2019-04-28,34,False
2019-05-05,38,False
2019-05-12,35,False
2019-05-19,40,False
2019-05-26,86,False
2019-06-02,62,False
2019-06-09,38,False
2019-06-16,36,False
2019-06-23,39,False
2019-06-30,45,False
2019-07-07,36,False
2019-07-14,37,False
2019-07-21,31,False
2019-07-28,32,False
2019-08-04,35,False
2019-08-11,33,False
2019-08-18,31,False
2019-08-25,32,False
2019-09-01,34,False
2019-09-08,29,False
2019-09-15,30,False
2019-09-22,25,False
2019-09-29,29,False
2019-10-06,28,False
2019-10-13,33,False
2019-10-20,31,False
2019-10-27,26,False
2019-11-03,29,False
2019-11-10,30,False
2019-11-17,35,False
2019-11-24,32,False
2019-12-01,29,False
2019-12-08,37,False
2019-12-15,45,False
2019-12-22,52,False
2019-12-29,45,False
2020-01-05,29,False
2020-01-12,35,False
2020-01-19,40,False
2020-01-26,32,False
2020-02-02,32,False
2020-02-09,35,False
2020-02-16,37,False
2020-02-23,30,False
2020-03-01,29,False
2020-03-08,33,False
2020-03-15,33,False
2020-03-22,33,False
2020-03-29,38,False
2020-04-05,34,False
2020-04-12,35,False
2020-04-19,44,False
2020-04-26,41,False
2020-05-03,49,False
2020-05-10,76,False
2020-05-17,100,False
2020-05-24,45,False
2020-05-31,35,False
2020-06-07,39,False
2020-06-14,39,False
2020-06-21,40,False
2020-06-28,40,False
2020-07-05,34,False
2020-07-12,36,False
2020-07-19,31,False
2020-07-26,34,False
2020-08-02,31,False
2020-08-09,33,False
2020-08-16,38,False
2020-08-23,30,False
2020-08-30,35,False
2020-09-06,34,False
2020-09-13,40,False
2020-09-20,37,False
2020-09-27,34,False
2020-10-04,38,False
2020-10-11,34,False
2020-10-18,40,False
2020-10-25,42,False
2020-11-01,41,False
2020-11-08,39,False
2020-11-15,42,False
2020-11-22,43,False
2020-11-29,37,False
2020-12-06,53,False
2020-12-13,41,False
2020-12-20,54,False
2020-12-27,50,False
2021-01-03,40,False
2021-01-10,49,False
2021-01-17,42,False
2021-01-24,34,False
2021-01-31,39,False
2021-02-07,40,False
2021-02-14,33,False
2021-02-21,34,False
2021-02-28,37,False
2021-03-07,40,False
2021-03-14,31,False
2021-03-21,32,False
2021-03-28,32,False
2021-04-04,29,False
2021-04-11,37,False
2021-04-18,35,False
2021-04-25,47,False
2021-05-02,61,False
2021-05-09,55,False
2021-05-16,39,False
2021-05-23,37,False
2021-05-30,29,False
2021-06-06,33,False
2021-06-13,30,False
2021-06-20,29,False
2021-06-27,45,False
2021-07-04,30,False
2021-07-11,28,False
2021-07-18,27,False
2021-07-25,27,False
2021-08-01,25,False
2021-08-08,29,False
2021-08-15,23,False
2021-08-22,23,False
2021-08-29,21,False
2021-09-05,32,False
2021-09-12,27,False
2021-09-19,25,False
2021-09-26,26,False
2021-10-03,27,False
2021-10-10,24,False
2021-10-17,30,False
2021-10-24,27,False
2021-10-31,27,False
2021-11-07,26,False
2021-11-14,21,True
