date,Kampar,isPartial
2016-11-27,12,False
2016-12-04,11,False
2016-12-11,17,False
2016-12-18,14,False
2016-12-25,12,False
2017-01-01,13,False
2017-01-08,18,False
2017-01-15,13,False
2017-01-22,14,False
2017-01-29,14,False
2017-02-05,18,False
2017-02-12,100,False
2017-02-19,22,False
2017-02-26,30,False
2017-03-05,24,False
2017-03-12,13,False
2017-03-19,17,False
2017-03-26,15,False
2017-04-02,13,False
2017-04-09,13,False
2017-04-16,22,False
2017-04-23,13,False
2017-04-30,15,False
2017-05-07,12,False
2017-05-14,16,False
2017-05-21,14,False
2017-05-28,12,False
2017-06-04,17,False
2017-06-11,18,False
2017-06-18,10,False
2017-06-25,16,False
2017-07-02,25,False
2017-07-09,37,False
2017-07-16,19,False
2017-07-23,22,False
2017-07-30,28,False
2017-08-06,15,False
2017-08-13,23,False
2017-08-20,17,False
2017-08-27,19,False
2017-09-03,20,False
2017-09-10,19,False
2017-09-17,13,False
2017-09-24,16,False
2017-10-01,14,False
2017-10-08,16,False
2017-10-15,14,False
2017-10-22,22,False
2017-10-29,22,False
2017-11-05,18,False
2017-11-12,16,False
2017-11-19,14,False
2017-11-26,15,False
2017-12-03,21,False
2017-12-10,16,False
2017-12-17,23,False
2017-12-24,21,False
2017-12-31,20,False
2018-01-07,22,False
2018-01-14,15,False
2018-01-21,13,False
2018-01-28,20,False
2018-02-04,24,False
2018-02-11,16,False
2018-02-18,14,False
2018-02-25,23,False
2018-03-04,16,False
2018-03-11,25,False
2018-03-18,19,False
2018-03-25,13,False
2018-04-01,12,False
2018-04-08,11,False
2018-04-15,17,False
2018-04-22,13,False
2018-04-29,16,False
2018-05-06,19,False
2018-05-13,22,False
2018-05-20,15,False
2018-05-27,15,False
2018-06-03,13,False
2018-06-10,12,False
2018-06-17,14,False
2018-06-24,19,False
2018-07-01,20,False
2018-07-08,15,False
2018-07-15,24,False
2018-07-22,21,False
2018-07-29,24,False
2018-08-05,19,False
2018-08-12,13,False
2018-08-19,15,False
2018-08-26,27,False
2018-09-02,19,False
2018-09-09,18,False
2018-09-16,16,False
2018-09-23,23,False
2018-09-30,18,False
2018-10-07,14,False
2018-10-14,13,False
2018-10-21,24,False
2018-10-28,18,False
2018-11-04,20,False
2018-11-11,11,False
2018-11-18,21,False
2018-11-25,17,False
2018-12-02,20,False
2018-12-09,26,False
2018-12-16,18,False
2018-12-23,43,False
2018-12-30,30,False
2019-01-06,18,False
2019-01-13,19,False
2019-01-20,18,False
2019-01-27,19,False
2019-02-03,25,False
2019-02-10,19,False
2019-02-17,17,False
2019-02-24,23,False
2019-03-03,19,False
2019-03-10,20,False
2019-03-17,17,False
2019-03-24,20,False
2019-03-31,18,False
2019-04-07,17,False
2019-04-14,27,False
2019-04-21,24,False
2019-04-28,23,False
2019-05-05,23,False
2019-05-12,16,False
2019-05-19,13,False
2019-05-26,14,False
2019-06-02,18,False
2019-06-09,26,False
2019-06-16,19,False
2019-06-23,12,False
2019-06-30,16,False
2019-07-07,21,False
2019-07-14,19,False
2019-07-21,17,False
2019-07-28,12,False
2019-08-04,12,False
2019-08-11,14,False
2019-08-18,19,False
2019-08-25,14,False
2019-09-01,17,False
2019-09-08,12,False
2019-09-15,17,False
2019-09-22,14,False
2019-09-29,17,False
2019-10-06,15,False
2019-10-13,16,False
2019-10-20,17,False
2019-10-27,13,False
2019-11-03,14,False
2019-11-10,24,False
2019-11-17,36,False
2019-11-24,16,False
2019-12-01,19,False
2019-12-08,21,False
2019-12-15,20,False
2019-12-22,20,False
2019-12-29,19,False
2020-01-05,18,False
2020-01-12,17,False
2020-01-19,18,False
2020-01-26,20,False
2020-02-02,16,False
2020-02-09,20,False
2020-02-16,11,False
2020-02-23,15,False
2020-03-01,16,False
2020-03-08,18,False
2020-03-15,12,False
2020-03-22,19,False
2020-03-29,13,False
2020-04-05,20,False
2020-04-12,13,False
2020-04-19,21,False
2020-04-26,20,False
2020-05-03,12,False
2020-05-10,15,False
2020-05-17,17,False
2020-05-24,15,False
2020-05-31,24,False
2020-06-07,22,False
2020-06-14,27,False
2020-06-21,24,False
2020-06-28,22,False
2020-07-05,25,False
2020-07-12,19,False
2020-07-19,21,False
2020-07-26,14,False
2020-08-02,17,False
2020-08-09,17,False
2020-08-16,25,False
2020-08-23,23,False
2020-08-30,14,False
2020-09-06,17,False
2020-09-13,16,False
2020-09-20,17,False
2020-09-27,11,False
2020-10-04,11,False
2020-10-11,12,False
2020-10-18,11,False
2020-10-25,17,False
2020-11-01,15,False
2020-11-08,13,False
2020-11-15,11,False
2020-11-22,18,False
2020-11-29,17,False
2020-12-06,23,False
2020-12-13,13,False
2020-12-20,16,False
2020-12-27,19,False
2021-01-03,19,False
2021-01-10,13,False
2021-01-17,14,False
2021-01-24,14,False
2021-01-31,16,False
2021-02-07,16,False
2021-02-14,18,False
2021-02-21,19,False
2021-02-28,11,False
2021-03-07,16,False
2021-03-14,17,False
2021-03-21,20,False
2021-03-28,21,False
2021-04-04,23,False
2021-04-11,20,False
2021-04-18,17,False
2021-04-25,21,False
2021-05-02,12,False
2021-05-09,17,False
2021-05-16,20,False
2021-05-23,17,False
2021-05-30,19,False
2021-06-06,17,False
2021-06-13,19,False
2021-06-20,15,False
2021-06-27,29,False
2021-07-04,19,False
2021-07-11,16,False
2021-07-18,13,False
2021-07-25,13,False
2021-08-01,13,False
2021-08-08,13,False
2021-08-15,14,False
2021-08-22,11,False
2021-08-29,14,False
2021-09-05,15,False
2021-09-12,18,False
2021-09-19,17,False
2021-09-26,17,False
2021-10-03,14,False
2021-10-10,13,False
2021-10-17,13,False
2021-10-24,9,False
2021-10-31,15,False
2021-11-07,17,False
2021-11-14,12,True
