date,Konawe Selatan,isPartial
2016-11-27,17,False
2016-12-04,8,False
2016-12-11,17,False
2016-12-18,9,False
2016-12-25,0,False
2017-01-01,9,False
2017-01-08,17,False
2017-01-15,8,False
2017-01-22,34,False
2017-01-29,8,False
2017-02-05,25,False
2017-02-12,8,False
2017-02-19,25,False
2017-02-26,0,False
2017-03-05,16,False
2017-03-12,25,False
2017-03-19,8,False
2017-03-26,17,False
2017-04-02,32,False
2017-04-09,8,False
2017-04-16,8,False
2017-04-23,33,False
2017-04-30,16,False
2017-05-07,33,False
2017-05-14,43,False
2017-05-21,36,False
2017-05-28,9,False
2017-06-04,18,False
2017-06-11,18,False
2017-06-18,0,False
2017-06-25,10,False
2017-07-02,17,False
2017-07-09,0,False
2017-07-16,35,False
2017-07-23,0,False
2017-07-30,16,False
2017-08-06,16,False
2017-08-13,8,False
2017-08-20,25,False
2017-08-27,0,False
2017-09-03,8,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,32,False
2017-10-01,16,False
2017-10-08,24,False
2017-10-15,24,False
2017-10-22,32,False
2017-10-29,0,False
2017-11-05,24,False
2017-11-12,8,False
2017-11-19,16,False
2017-11-26,24,False
2017-12-03,8,False
2017-12-10,0,False
2017-12-17,25,False
2017-12-24,17,False
2017-12-31,0,False
2018-01-07,8,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,8,False
2018-02-04,32,False
2018-02-11,24,False
2018-02-18,24,False
2018-02-25,8,False
2018-03-04,32,False
2018-03-11,24,False
2018-03-18,16,False
2018-03-25,16,False
2018-04-01,0,False
2018-04-08,15,False
2018-04-15,23,False
2018-04-22,23,False
2018-04-29,16,False
2018-05-06,8,False
2018-05-13,8,False
2018-05-20,8,False
2018-05-27,16,False
2018-06-03,16,False
2018-06-10,9,False
2018-06-17,24,False
2018-06-24,21,False
2018-07-01,14,False
2018-07-08,44,False
2018-07-15,23,False
2018-07-22,15,False
2018-07-29,37,False
2018-08-05,15,False
2018-08-12,24,False
2018-08-19,25,False
2018-08-26,24,False
2018-09-02,24,False
2018-09-09,16,False
2018-09-16,61,False
2018-09-23,15,False
2018-09-30,46,False
2018-10-07,53,False
2018-10-14,16,False
2018-10-21,22,False
2018-10-28,15,False
2018-11-04,23,False
2018-11-11,16,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,47,False
2018-12-09,0,False
2018-12-16,16,False
2018-12-23,0,False
2018-12-30,17,False
2019-01-06,16,False
2019-01-13,16,False
2019-01-20,16,False
2019-01-27,16,False
2019-02-03,0,False
2019-02-10,23,False
2019-02-17,30,False
2019-02-24,15,False
2019-03-03,16,False
2019-03-10,45,False
2019-03-17,23,False
2019-03-24,15,False
2019-03-31,16,False
2019-04-07,47,False
2019-04-14,24,False
2019-04-21,15,False
2019-04-28,16,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,15,False
2019-05-26,48,False
2019-06-02,29,False
2019-06-09,31,False
2019-06-16,0,False
2019-06-23,37,False
2019-06-30,8,False
2019-07-07,46,False
2019-07-14,15,False
2019-07-21,15,False
2019-07-28,15,False
2019-08-04,30,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,29,False
2019-09-01,7,False
2019-09-08,7,False
2019-09-15,14,False
2019-09-22,21,False
2019-09-29,29,False
2019-10-06,28,False
2019-10-13,7,False
2019-10-20,28,False
2019-10-27,14,False
2019-11-03,36,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,14,False
2019-12-01,14,False
2019-12-08,14,False
2019-12-15,29,False
2019-12-22,15,False
2019-12-29,69,False
2020-01-05,42,False
2020-01-12,33,False
2020-01-19,35,False
2020-01-26,21,False
2020-02-02,7,False
2020-02-09,7,False
2020-02-16,0,False
