date,Kepulauan Aru,isPartial
2016-11-27,16,False
2016-12-04,31,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,34,False
2017-01-01,34,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,16,False
2017-02-05,32,False
2017-02-12,16,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,16,False
2017-03-12,47,False
2017-03-19,32,False
2017-03-26,16,False
2017-04-02,0,False
2017-04-09,47,False
2017-04-16,0,False
2017-04-23,16,False
2017-04-30,31,False
2017-05-07,0,False
2017-05-14,50,False
2017-05-21,35,False
2017-05-28,0,False
2017-06-04,0,False
2017-06-11,51,False
2017-06-18,36,False
2017-06-25,20,False
2017-07-02,0,False
2017-07-09,16,False
2017-07-16,17,False
2017-07-23,0,False
2017-07-30,16,False
2017-08-06,31,False
2017-08-13,0,False
2017-08-20,48,False
2017-08-27,33,False
2017-09-03,16,False
2017-09-10,0,False
2017-09-17,16,False
2017-09-24,16,False
2017-10-01,31,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,15,False
2017-11-05,15,False
2017-11-12,15,False
2017-11-19,46,False
2017-11-26,0,False
2017-12-03,15,False
2017-12-10,0,False
2017-12-17,16,False
2017-12-24,17,False
2017-12-31,0,False
2018-01-07,15,False
2018-01-14,30,False
2018-01-21,0,False
2018-01-28,15,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,31,False
2018-02-25,0,False
2018-03-04,15,False
2018-03-11,15,False
2018-03-18,15,False
2018-03-25,30,False
2018-04-01,0,False
2018-04-08,30,False
2018-04-15,0,False
2018-04-22,30,False
2018-04-29,62,False
2018-05-06,15,False
2018-05-13,63,False
2018-05-20,15,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,41,False
2018-07-01,27,False
2018-07-08,14,False
2018-07-15,0,False
2018-07-22,14,False
2018-07-29,0,False
2018-08-05,28,False
2018-08-12,30,False
2018-08-19,16,False
2018-08-26,15,False
2018-09-02,0,False
2018-09-09,15,False
2018-09-16,29,False
2018-09-23,0,False
2018-09-30,74,False
2018-10-07,44,False
2018-10-14,30,False
2018-10-21,29,False
2018-10-28,42,False
2018-11-04,15,False
2018-11-11,15,False
2018-11-18,16,False
2018-11-25,0,False
2018-12-02,30,False
2018-12-09,0,False
2018-12-16,16,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,15,False
2019-01-13,30,False
2019-01-20,61,False
2019-01-27,60,False
2019-02-03,45,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,15,False
2019-03-10,44,False
2019-03-17,14,False
2019-03-24,29,False
2019-03-31,46,False
2019-04-07,0,False
2019-04-14,45,False
2019-04-21,15,False
2019-04-28,15,False
2019-05-05,45,False
2019-05-12,60,False
2019-05-19,29,False
2019-05-26,31,False
2019-06-02,37,False
2019-06-09,15,False
2019-06-16,44,False
2019-06-23,43,False
2019-06-30,29,False
2019-07-07,15,False
2019-07-14,15,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,15,False
2019-08-11,74,False
2019-08-18,58,False
2019-08-25,43,False
2019-09-01,28,False
2019-09-08,14,False
2019-09-15,14,False
2019-09-22,27,False
2019-09-29,41,False
2019-10-06,81,False
2019-10-13,55,False
2019-10-20,13,False
2019-10-27,27,False
2019-11-03,14,False
2019-11-10,80,False
2019-11-17,27,False
2019-11-24,27,False
2019-12-01,26,False
2019-12-08,95,False
2019-12-15,0,False
2019-12-22,29,False
2019-12-29,30,False
2020-01-05,27,False
2020-01-12,51,False
2020-01-19,0,False
2020-01-26,54,False
2020-02-02,13,False
2020-02-09,26,False
2020-02-16,40,False
2020-02-23,39,False
2020-03-01,13,False
2020-03-08,0,False
2020-03-15,12,False
2020-03-22,35,False
2020-03-29,11,False
2020-04-05,23,False
2020-04-12,0,False
2020-04-19,24,False
2020-04-26,24,False
2020-05-03,85,False
2020-05-10,25,False
2020-05-17,27,False
2020-05-24,0,False
2020-05-31,23,False
2020-06-07,44,False
2020-06-14,25,False
2020-06-21,0,False
2020-06-28,13,False
2020-07-05,13,False
2020-07-12,12,False
2020-07-19,56,False
2020-07-26,36,False
2020-08-02,11,False
2020-08-09,33,False
2020-08-16,12,False
2020-08-23,33,False
2020-08-30,44,False
2020-09-06,43,False
2020-09-13,32,False
2020-09-20,31,False
2020-09-27,53,False
2020-10-04,11,False
2020-10-11,34,False
2020-10-18,33,False
2020-10-25,24,False
2020-11-01,55,False
2020-11-08,23,False
2020-11-15,46,False
2020-11-22,22,False
2020-11-29,41,False
2020-12-06,45,False
2020-12-13,24,False
2020-12-20,13,False
2020-12-27,13,False
2021-01-03,12,False
2021-01-10,0,False
2021-01-17,24,False
2021-01-24,71,False
2021-01-31,12,False
2021-02-07,0,False
2021-02-14,24,False
2021-02-21,0,False
2021-02-28,11,False
2021-03-07,11,False
2021-03-14,41,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,12,False
2021-04-11,24,False
2021-04-18,12,False
2021-04-25,36,False
2021-05-02,37,False
2021-05-09,0,False
2021-05-16,13,False
2021-05-23,48,False
2021-05-30,23,False
2021-06-06,44,False
2021-06-13,0,False
2021-06-20,62,False
2021-06-27,36,False
2021-07-04,25,False
2021-07-11,24,False
2021-07-18,100,False
2021-07-25,0,False
2021-08-01,34,False
2021-08-08,23,False
2021-08-15,23,False
2021-08-22,12,False
2021-08-29,58,False
2021-09-05,12,False
2021-09-12,59,False
2021-09-19,48,False
2021-09-26,24,False
2021-10-03,73,False
2021-10-10,75,False
2021-10-17,39,False
2021-10-24,12,False
2021-10-31,24,False
2021-11-07,50,False
2021-11-14,42,True
