date,Nduga,isPartial
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,1,False
2016-12-18,1,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,1,False
2017-01-15,1,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,1,False
2017-04-23,0,False
2017-04-30,1,False
2017-05-07,0,False
2017-05-14,1,False
2017-05-21,1,False
2017-05-28,1,False
2017-06-04,0,False
2017-06-11,0,False
2017-06-18,1,False
2017-06-25,1,False
2017-07-02,1,False
2017-07-09,1,False
2017-07-16,0,False
2017-07-23,0,False
2017-07-30,1,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,2,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,0,False
2017-10-01,0,False
2017-10-08,1,False
2017-10-15,0,False
2017-10-22,1,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,1,False
2017-11-26,0,False
2017-12-03,0,False
2017-12-10,1,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,1,False
2018-01-28,1,False
2018-02-04,1,False
2018-02-11,0,False
2018-02-18,1,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,4,False
2018-03-25,2,False
2018-04-01,1,False
2018-04-08,1,False
2018-04-15,3,False
2018-04-22,1,False
2018-04-29,1,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,1,False
2018-05-27,1,False
2018-06-03,2,False
2018-06-10,1,False
2018-06-17,2,False
2018-06-24,5,False
2018-07-01,1,False
2018-07-08,5,False
2018-07-15,4,False
2018-07-22,1,False
2018-07-29,1,False
2018-08-05,2,False
2018-08-12,1,False
2018-08-19,6,False
2018-08-26,3,False
2018-09-02,1,False
2018-09-09,1,False
2018-09-16,2,False
2018-09-23,2,False
2018-09-30,1,False
2018-10-07,1,False
2018-10-14,0,False
2018-10-21,3,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,2,False
2018-11-18,0,False
2018-11-25,1,False
2018-12-02,100,False
2018-12-09,42,False
2018-12-16,16,False
2018-12-23,12,False
2018-12-30,14,False
2019-01-06,5,False
2019-01-13,3,False
2019-01-20,1,False
2019-01-27,9,False
2019-02-03,2,False
2019-02-10,3,False
2019-02-17,2,False
2019-02-24,5,False
2019-03-03,14,False
2019-03-10,8,False
2019-03-17,11,False
2019-03-24,8,False
2019-03-31,7,False
2019-04-07,3,False
2019-04-14,7,False
2019-04-21,7,False
2019-04-28,4,False
2019-05-05,1,False
2019-05-12,6,False
2019-05-19,4,False
2019-05-26,4,False
2019-06-02,3,False
2019-06-09,1,False
2019-06-16,1,False
2019-06-23,1,False
2019-06-30,2,False
2019-07-07,1,False
2019-07-14,3,False
2019-07-21,6,False
2019-07-28,3,False
2019-08-04,1,False
2019-08-11,6,False
2019-08-18,3,False
2019-08-25,5,False
2019-09-01,3,False
2019-09-08,2,False
2019-09-15,1,False
2019-09-22,1,False
2019-09-29,4,False
2019-10-06,3,False
2019-10-13,1,False
2019-10-20,1,False
2019-10-27,2,False
2019-11-03,1,False
2019-11-10,2,False
2019-11-17,1,False
2019-11-24,1,False
2019-12-01,1,False
2019-12-08,1,False
2019-12-15,0,False
2019-12-22,13,False
2019-12-29,6,False
2020-01-05,3,False
2020-01-12,2,False
2020-01-19,5,False
2020-01-26,3,False
2020-02-02,1,False
2020-02-09,0,False
2020-02-16,2,False
2020-02-23,4,False
2020-03-01,1,False
2020-03-08,1,False
2020-03-15,1,False
2020-03-22,1,False
2020-03-29,2,False
2020-04-05,0,False
2020-04-12,1,False
2020-04-19,0,False
2020-04-26,1,False
2020-05-03,1,False
2020-05-10,1,False
2020-05-17,1,False
2020-05-24,1,False
2020-05-31,2,False
2020-06-07,1,False
2020-06-14,1,False
2020-06-21,1,False
2020-06-28,1,False
2020-07-05,2,False
2020-07-12,2,False
2020-07-19,2,False
2020-07-26,1,False
2020-08-02,2,False
2020-08-09,1,False
2020-08-16,1,False
2020-08-23,2,False
2020-08-30,2,False
2020-09-06,0,False
2020-09-13,2,False
2020-09-20,1,False
2020-09-27,2,False
2020-10-04,1,False
2020-10-11,0,False
2020-10-18,1,False
2020-10-25,1,False
2020-11-01,1,False
2020-11-08,1,False
2020-11-15,4,False
2020-11-22,3,False
2020-11-29,1,False
2020-12-06,1,False
2020-12-13,2,False
2020-12-20,3,False
2020-12-27,1,False
2021-01-03,1,False
2021-01-10,0,False
2021-01-17,1,False
2021-01-24,5,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,2,False
2021-02-21,7,False
2021-02-28,4,False
2021-03-07,1,False
2021-03-14,2,False
2021-03-21,2,False
2021-03-28,2,False
2021-04-04,2,False
2021-04-11,1,False
2021-04-18,2,False
2021-04-25,4,False
2021-05-02,6,False
2021-05-09,3,False
2021-05-16,2,False
2021-05-23,1,False
2021-05-30,1,False
2021-06-06,0,False
2021-06-13,2,False
2021-06-20,2,False
2021-06-27,1,False
2021-07-04,1,False
2021-07-11,2,False
2021-07-18,1,False
2021-07-25,1,False
2021-08-01,2,False
2021-08-08,4,False
2021-08-15,1,False
2021-08-22,1,False
2021-08-29,1,False
2021-09-05,1,False
2021-09-12,0,False
2021-09-19,1,False
2021-09-26,11,False
2021-10-03,9,False
2021-10-10,3,False
2021-10-17,1,False
2021-10-24,2,False
2021-10-31,1,False
2021-11-07,1,False
2021-11-14,1,True
