date,Lombok Barat,isPartial
2016-11-27,27,False
2016-12-04,21,False
2016-12-11,28,False
2016-12-18,15,False
2016-12-25,31,False
2017-01-01,20,False
2017-01-08,40,False
2017-01-15,36,False
2017-01-22,25,False
2017-01-29,47,False
2017-02-05,29,False
2017-02-12,26,False
2017-02-19,37,False
2017-02-26,19,False
2017-03-05,14,False
2017-03-12,26,False
2017-03-19,24,False
2017-03-26,29,False
2017-04-02,26,False
2017-04-09,19,False
2017-04-16,25,False
2017-04-23,14,False
2017-04-30,35,False
2017-05-07,36,False
2017-05-14,25,False
2017-05-21,21,False
2017-05-28,18,False
2017-06-04,31,False
2017-06-11,21,False
2017-06-18,30,False
2017-06-25,18,False
2017-07-02,43,False
2017-07-09,20,False
2017-07-16,18,False
2017-07-23,44,False
2017-07-30,22,False
2017-08-06,26,False
2017-08-13,22,False
2017-08-20,38,False
2017-08-27,30,False
2017-09-03,31,False
2017-09-10,26,False
2017-09-17,36,False
2017-09-24,26,False
2017-10-01,28,False
2017-10-08,35,False
2017-10-15,31,False
2017-10-22,42,False
2017-10-29,28,False
2017-11-05,23,False
2017-11-12,14,False
2017-11-19,21,False
2017-11-26,28,False
2017-12-03,12,False
2017-12-10,38,False
2017-12-17,41,False
2017-12-24,33,False
2017-12-31,44,False
2018-01-07,30,False
2018-01-14,27,False
2018-01-21,42,False
2018-01-28,28,False
2018-02-04,24,False
2018-02-11,28,False
2018-02-18,32,False
2018-02-25,23,False
2018-03-04,32,False
2018-03-11,30,False
2018-03-18,27,False
2018-03-25,46,False
2018-04-01,32,False
2018-04-08,38,False
2018-04-15,50,False
2018-04-22,29,False
2018-04-29,33,False
2018-05-06,51,False
2018-05-13,17,False
2018-05-20,36,False
2018-05-27,21,False
2018-06-03,24,False
2018-06-10,24,False
2018-06-17,16,False
2018-06-24,100,False
2018-07-01,35,False
2018-07-08,40,False
2018-07-15,36,False
2018-07-22,48,False
2018-07-29,32,False
2018-08-05,89,False
2018-08-12,37,False
2018-08-19,43,False
2018-08-26,35,False
2018-09-02,49,False
2018-09-09,28,False
2018-09-16,36,False
2018-09-23,25,False
2018-09-30,47,False
2018-10-07,55,False
2018-10-14,43,False
2018-10-21,91,False
2018-10-28,40,False
2018-11-04,42,False
2018-11-11,43,False
2018-11-18,48,False
2018-11-25,49,False
2018-12-02,32,False
2018-12-09,28,False
2018-12-16,56,False
2018-12-23,33,False
2018-12-30,38,False
2019-01-06,48,False
2019-01-13,43,False
2019-01-20,44,False
2019-01-27,27,False
2019-02-03,45,False
2019-02-10,42,False
2019-02-17,31,False
2019-02-24,24,False
2019-03-03,37,False
2019-03-10,51,False
2019-03-17,28,False
2019-03-24,46,False
2019-03-31,33,False
2019-04-07,46,False
2019-04-14,25,False
2019-04-21,34,False
2019-04-28,30,False
2019-05-05,37,False
2019-05-12,23,False
2019-05-19,20,False
2019-05-26,31,False
2019-06-02,39,False
2019-06-09,39,False
2019-06-16,40,False
2019-06-23,35,False
2019-06-30,38,False
2019-07-07,33,False
2019-07-14,29,False
2019-07-21,46,False
2019-07-28,21,False
2019-08-04,40,False
2019-08-11,38,False
2019-08-18,28,False
2019-08-25,52,False
2019-09-01,32,False
2019-09-08,31,False
2019-09-15,22,False
2019-09-22,35,False
2019-09-29,31,False
2019-10-06,35,False
2019-10-13,38,False
2019-10-20,38,False
2019-10-27,25,False
2019-11-03,44,False
2019-11-10,52,False
2019-11-17,36,False
2019-11-24,50,False
2019-12-01,44,False
2019-12-08,29,False
2019-12-15,47,False
2019-12-22,47,False
2019-12-29,31,False
2020-01-05,31,False
2020-01-12,35,False
2020-01-19,35,False
2020-01-26,37,False
2020-02-02,41,False
2020-02-09,58,False
2020-02-16,40,False
2020-02-23,36,False
2020-03-01,39,False
2020-03-08,50,False
2020-03-15,47,False
2020-03-22,40,False
2020-03-29,42,False
2020-04-05,39,False
2020-04-12,29,False
2020-04-19,24,False
2020-04-26,20,False
2020-05-03,35,False
2020-05-10,41,False
2020-05-17,20,False
2020-05-24,33,False
2020-05-31,46,False
2020-06-07,62,False
2020-06-14,41,False
2020-06-21,37,False
2020-06-28,52,False
2020-07-05,34,False
2020-07-12,41,False
2020-07-19,34,False
2020-07-26,31,False
2020-08-02,37,False
2020-08-09,43,False
2020-08-16,40,False
2020-08-23,37,False
2020-08-30,50,False
2020-09-06,23,False
2020-09-13,45,False
2020-09-20,46,False
2020-09-27,37,False
2020-10-04,38,False
2020-10-11,37,False
2020-10-18,37,False
2020-10-25,31,False
2020-11-01,26,False
2020-11-08,39,False
2020-11-15,33,False
2020-11-22,27,False
2020-11-29,36,False
2020-12-06,60,False
2020-12-13,34,False
2020-12-20,37,False
2020-12-27,36,False
2021-01-03,43,False
2021-01-10,29,False
2021-01-17,50,False
2021-01-24,32,False
2021-01-31,28,False
2021-02-07,38,False
2021-02-14,27,False
2021-02-21,42,False
2021-02-28,34,False
2021-03-07,33,False
2021-03-14,29,False
2021-03-21,34,False
2021-03-28,45,False
2021-04-04,38,False
2021-04-11,52,False
2021-04-18,39,False
2021-04-25,33,False
2021-05-02,36,False
2021-05-09,32,False
2021-05-16,50,False
2021-05-23,60,False
2021-05-30,46,False
2021-06-06,72,False
2021-06-13,73,False
2021-06-20,66,False
2021-06-27,60,False
2021-07-04,62,False
2021-07-11,32,False
2021-07-18,38,False
2021-07-25,34,False
2021-08-01,36,False
2021-08-08,31,False
2021-08-15,53,False
2021-08-22,37,False
2021-08-29,35,False
2021-09-05,46,False
2021-09-12,39,False
2021-09-19,58,False
2021-09-26,54,False
2021-10-03,46,False
2021-10-10,44,False
2021-10-17,21,False
2021-10-24,62,False
2021-10-31,57,False
2021-11-07,38,False
2021-11-14,40,True
