date,Nabire,isPartial
2016-11-27,19,False
2016-12-04,28,False
2016-12-11,13,False
2016-12-18,19,False
2016-12-25,24,False
2017-01-01,22,False
2017-01-08,13,False
2017-01-15,19,False
2017-01-22,25,False
2017-01-29,21,False
2017-02-05,21,False
2017-02-12,21,False
2017-02-19,17,False
2017-02-26,16,False
2017-03-05,16,False
2017-03-12,12,False
2017-03-19,21,False
2017-03-26,16,False
2017-04-02,14,False
2017-04-09,18,False
2017-04-16,16,False
2017-04-23,18,False
2017-04-30,20,False
2017-05-07,18,False
2017-05-14,30,False
2017-05-21,29,False
2017-05-28,18,False
2017-06-04,13,False
2017-06-11,15,False
2017-06-18,9,False
2017-06-25,18,False
2017-07-02,22,False
2017-07-09,30,False
2017-07-16,31,False
2017-07-23,13,False
2017-07-30,25,False
2017-08-06,10,False
2017-08-13,19,False
2017-08-20,23,False
2017-08-27,24,False
2017-09-03,25,False
2017-09-10,20,False
2017-09-17,22,False
2017-09-24,10,False
2017-10-01,18,False
2017-10-08,38,False
2017-10-15,14,False
2017-10-22,26,False
2017-10-29,16,False
2017-11-05,24,False
2017-11-12,20,False
2017-11-19,26,False
2017-11-26,24,False
2017-12-03,22,False
2017-12-10,26,False
2017-12-17,37,False
2017-12-24,19,False
2017-12-31,21,False
2018-01-07,12,False
2018-01-14,19,False
2018-01-21,16,False
2018-01-28,20,False
2018-02-04,24,False
2018-02-11,22,False
2018-02-18,10,False
2018-02-25,14,False
2018-03-04,35,False
2018-03-11,14,False
2018-03-18,16,False
2018-03-25,12,False
2018-04-01,18,False
2018-04-08,13,False
2018-04-15,16,False
2018-04-22,27,False
2018-04-29,16,False
2018-05-06,16,False
2018-05-13,33,False
2018-05-20,23,False
2018-05-27,26,False
2018-06-03,29,False
2018-06-10,27,False
2018-06-17,24,False
2018-06-24,14,False
2018-07-01,19,False
2018-07-08,25,False
2018-07-15,17,False
2018-07-22,15,False
2018-07-29,24,False
2018-08-05,22,False
2018-08-12,14,False
2018-08-19,27,False
2018-08-26,18,False
2018-09-02,30,False
2018-09-09,22,False
2018-09-16,25,False
2018-09-23,29,False
2018-09-30,40,False
2018-10-07,15,False
2018-10-14,18,False
2018-10-21,22,False
2018-10-28,25,False
2018-11-04,40,False
2018-11-11,29,False
2018-11-18,22,False
2018-11-25,29,False
2018-12-02,37,False
2018-12-09,26,False
2018-12-16,18,False
2018-12-23,26,False
2018-12-30,24,False
2019-01-06,23,False
2019-01-13,23,False
2019-01-20,28,False
2019-01-27,21,False
2019-02-03,10,False
2019-02-10,24,False
2019-02-17,26,False
2019-02-24,34,False
2019-03-03,20,False
2019-03-10,23,False
2019-03-17,26,False
2019-03-24,15,False
2019-03-31,34,False
2019-04-07,22,False
2019-04-14,27,False
2019-04-21,44,False
2019-04-28,26,False
2019-05-05,43,False
2019-05-12,35,False
2019-05-19,21,False
2019-05-26,22,False
2019-06-02,31,False
2019-06-09,20,False
2019-06-16,38,False
2019-06-23,24,False
2019-06-30,30,False
2019-07-07,23,False
2019-07-14,34,False
2019-07-21,30,False
2019-07-28,38,False
2019-08-04,25,False
2019-08-11,36,False
2019-08-18,24,False
2019-08-25,31,False
2019-09-01,9,False
2019-09-08,18,False
2019-09-15,26,False
2019-09-22,23,False
2019-09-29,30,False
2019-10-06,33,False
2019-10-13,27,False
2019-10-20,19,False
2019-10-27,40,False
2019-11-03,21,False
2019-11-10,14,False
2019-11-17,14,False
2019-11-24,38,False
2019-12-01,32,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,21,False
2019-12-29,23,False
2020-01-05,26,False
2020-01-12,28,False
2020-01-19,37,False
2020-01-26,21,False
2020-02-02,47,False
2020-02-09,39,False
2020-02-16,36,False
2020-02-23,100,False
2020-03-01,57,False
2020-03-08,21,False
2020-03-15,23,False
2020-03-22,33,False
2020-03-29,22,False
2020-04-05,28,False
2020-04-12,25,False
2020-04-19,28,False
2020-04-26,16,False
2020-05-03,28,False
2020-05-10,27,False
2020-05-17,23,False
2020-05-24,23,False
2020-05-31,35,False
2020-06-07,24,False
2020-06-14,37,False
2020-06-21,35,False
2020-06-28,23,False
2020-07-05,46,False
2020-07-12,24,False
2020-07-19,29,False
2020-07-26,25,False
2020-08-02,34,False
2020-08-09,32,False
2020-08-16,45,False
2020-08-23,24,False
2020-08-30,27,False
2020-09-06,26,False
2020-09-13,26,False
2020-09-20,25,False
2020-09-27,22,False
2020-10-04,16,False
2020-10-11,29,False
2020-10-18,35,False
2020-10-25,28,False
2020-11-01,16,False
2020-11-08,29,False
2020-11-15,34,False
2020-11-22,25,False
2020-11-29,39,False
2020-12-06,73,False
2020-12-13,68,False
2020-12-20,43,False
2020-12-27,21,False
2021-01-03,26,False
2021-01-10,38,False
2021-01-17,38,False
2021-01-24,26,False
2021-01-31,26,False
2021-02-07,19,False
2021-02-14,21,False
2021-02-21,30,False
2021-02-28,26,False
2021-03-07,19,False
2021-03-14,41,False
2021-03-21,30,False
2021-03-28,40,False
2021-04-04,32,False
2021-04-11,44,False
2021-04-18,23,False
2021-04-25,25,False
2021-05-02,27,False
2021-05-09,17,False
2021-05-16,25,False
2021-05-23,25,False
2021-05-30,33,False
2021-06-06,21,False
2021-06-13,29,False
2021-06-20,21,False
2021-06-27,25,False
2021-07-04,44,False
2021-07-11,21,False
2021-07-18,27,False
2021-07-25,53,False
2021-08-01,32,False
2021-08-08,30,False
2021-08-15,25,False
2021-08-22,34,False
2021-08-29,27,False
2021-09-05,22,False
2021-09-12,21,False
2021-09-19,36,False
2021-09-26,27,False
2021-10-03,35,False
2021-10-10,24,False
2021-10-17,33,False
2021-10-24,36,False
2021-10-31,19,False
2021-11-07,19,False
2021-11-14,22,True
