date,Kutai Barat,isPartial
2016-11-27,35,False
2016-12-04,17,False
2016-12-11,36,False
2016-12-18,22,False
2016-12-25,9,False
2017-01-01,18,False
2017-01-08,22,False
2017-01-15,17,False
2017-01-22,26,False
2017-01-29,13,False
2017-02-05,22,False
2017-02-12,17,False
2017-02-19,30,False
2017-02-26,13,False
2017-03-05,34,False
2017-03-12,34,False
2017-03-19,30,False
2017-03-26,13,False
2017-04-02,29,False
2017-04-09,4,False
2017-04-16,33,False
2017-04-23,38,False
2017-04-30,25,False
2017-05-07,9,False
2017-05-14,36,False
2017-05-21,33,False
2017-05-28,9,False
2017-06-04,5,False
2017-06-11,18,False
2017-06-18,0,False
2017-06-25,22,False
2017-07-02,27,False
2017-07-09,4,False
2017-07-16,5,False
2017-07-23,17,False
2017-07-30,21,False
2017-08-06,38,False
2017-08-13,22,False
2017-08-20,26,False
2017-08-27,18,False
2017-09-03,26,False
2017-09-10,25,False
2017-09-17,30,False
2017-09-24,13,False
2017-10-01,29,False
2017-10-08,25,False
2017-10-15,38,False
2017-10-22,29,False
2017-10-29,12,False
2017-11-05,8,False
2017-11-12,17,False
2017-11-19,25,False
2017-11-26,38,False
2017-12-03,45,False
2017-12-10,46,False
2017-12-17,13,False
2017-12-24,27,False
2017-12-31,22,False
2018-01-07,37,False
2018-01-14,28,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,17,False
2018-02-11,29,False
2018-02-18,17,False
2018-02-25,24,False
2018-03-04,41,False
2018-03-11,20,False
2018-03-18,0,False
2018-03-25,12,False
2018-04-01,8,False
2018-04-08,36,False
2018-04-15,20,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,37,False
2018-05-13,38,False
2018-05-20,20,False
2018-05-27,21,False
2018-06-03,30,False
2018-06-10,23,False
2018-06-17,21,False
2018-06-24,26,False
2018-07-01,40,False
2018-07-08,19,False
2018-07-15,16,False
2018-07-22,23,False
2018-07-29,34,False
2018-08-05,23,False
2018-08-12,21,False
