date,Labuhan Batu Utara,isPartial
2016-11-27,30,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,11,False
2017-01-08,21,False
2017-01-15,10,False
2017-01-22,41,False
2017-01-29,10,False
2017-02-05,20,False
2017-02-12,10,False
2017-02-19,0,False
2017-02-26,10,False
2017-03-05,0,False
2017-03-12,20,False
2017-03-19,30,False
2017-03-26,10,False
2017-04-02,29,False
2017-04-09,19,False
2017-04-16,0,False
2017-04-23,20,False
2017-04-30,10,False
2017-05-07,10,False
2017-05-14,0,False
2017-05-21,0,False
2017-05-28,11,False
2017-06-04,0,False
2017-06-11,32,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,21,False
2017-07-09,10,False
2017-07-16,11,False
2017-07-23,20,False
2017-07-30,30,False
2017-08-06,10,False
2017-08-13,0,False
2017-08-20,10,False
2017-08-27,10,False
2017-09-03,20,False
2017-09-10,0,False
2017-09-17,20,False
2017-09-24,49,False
2017-10-01,10,False
2017-10-08,39,False
2017-10-15,10,False
2017-10-22,39,False
2017-10-29,19,False
2017-11-05,10,False
2017-11-12,0,False
2017-11-19,10,False
2017-11-26,29,False
2017-12-03,19,False
2017-12-10,0,False
2017-12-17,10,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,29,False
2018-01-14,19,False
2018-01-21,19,False
2018-01-28,19,False
2018-02-04,29,False
2018-02-11,0,False
2018-02-18,10,False
2018-02-25,19,False
2018-03-04,29,False
2018-03-11,0,False
2018-03-18,19,False
2018-03-25,0,False
2018-04-01,19,False
2018-04-08,0,False
2018-04-15,56,False
2018-04-22,19,False
2018-04-29,10,False
2018-05-06,19,False
2018-05-13,20,False
2018-05-20,28,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,11,False
2018-06-17,29,False
2018-06-24,9,False
2018-07-01,8,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,0,False
2018-07-29,18,False
2018-08-05,17,False
2018-08-12,38,False
2018-08-19,0,False
2018-08-26,10,False
2018-09-02,0,False
2018-09-09,10,False
2018-09-16,18,False
2018-09-23,9,False
2018-09-30,56,False
2018-10-07,36,False
2018-10-14,19,False
2018-10-21,81,False
2018-10-28,0,False
2018-11-04,9,False
2018-11-11,19,False
2018-11-18,10,False
2018-11-25,19,False
2018-12-02,10,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,41,False
2019-01-06,19,False
2019-01-13,28,False
2019-01-20,29,False
2019-01-27,28,False
2019-02-03,37,False
2019-02-10,9,False
2019-02-17,18,False
2019-02-24,9,False
2019-03-03,0,False
2019-03-10,9,False
2019-03-17,18,False
2019-03-24,18,False
2019-03-31,0,False
2019-04-07,9,False
2019-04-14,28,False
2019-04-21,19,False
2019-04-28,19,False
2019-05-05,38,False
2019-05-12,37,False
2019-05-19,18,False
2019-05-26,0,False
2019-06-02,23,False
2019-06-09,9,False
2019-06-16,36,False
2019-06-23,9,False
2019-06-30,18,False
2019-07-07,9,False
2019-07-14,9,False
2019-07-21,9,False
2019-07-28,18,False
2019-08-04,18,False
2019-08-11,28,False
2019-08-18,36,False
2019-08-25,9,False
2019-09-01,9,False
2019-09-08,34,False
2019-09-15,25,False
2019-09-22,34,False
2019-09-29,26,False
2019-10-06,8,False
2019-10-13,17,False
2019-10-20,8,False
2019-10-27,34,False
2019-11-03,43,False
2019-11-10,100,False
2019-11-17,58,False
2019-11-24,8,False
2019-12-01,8,False
2019-12-08,51,False
2019-12-15,79,False
2019-12-22,27,False
2019-12-29,56,False
2020-01-05,34,False
2020-01-12,24,False
2020-01-19,17,False
2020-01-26,25,False
2020-02-02,8,False
2020-02-09,8,False
2020-02-16,17,False
2020-02-23,8,False
2020-03-01,0,False
2020-03-08,24,False
2020-03-15,15,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,14,False
2020-04-12,21,False
2020-04-19,23,False
2020-04-26,8,False
2020-05-03,0,False
2020-05-10,54,False
2020-05-17,0,False
2020-05-24,17,False
2020-05-31,14,False
2020-06-07,28,False
2020-06-14,16,False
2020-06-21,0,False
2020-06-28,24,False
2020-07-05,17,False
2020-07-12,31,False
2020-07-19,0,False
2020-07-26,15,False
2020-08-02,28,False
2020-08-09,7,False
2020-08-16,30,False
2020-08-23,21,False
2020-08-30,7,False
2020-09-06,27,False
2020-09-13,13,False
2020-09-20,19,False
2020-09-27,0,False
2020-10-04,27,False
2020-10-11,14,False
2020-10-18,28,False
2020-10-25,15,False
2020-11-01,14,False
2020-11-08,64,False
2020-11-15,21,False
2020-11-22,14,False
2020-11-29,26,False
2020-12-06,78,False
2020-12-13,22,False
2020-12-20,32,False
2020-12-27,42,False
2021-01-03,37,False
2021-01-10,22,False
2021-01-17,37,False
2021-01-24,15,False
2021-01-31,15,False
2021-02-07,7,False
2021-02-14,15,False
2021-02-21,21,False
2021-02-28,35,False
2021-03-07,14,False
2021-03-14,25,False
2021-03-21,7,False
2021-03-28,30,False
2021-04-04,0,False
2021-04-11,38,False
2021-04-18,22,False
2021-04-25,8,False
2021-05-02,31,False
2021-05-09,0,False
2021-05-16,24,False
2021-05-23,30,False
2021-05-30,36,False
2021-06-06,14,False
2021-06-13,30,False
2021-06-20,8,False
2021-06-27,30,False
2021-07-04,8,False
2021-07-11,23,False
2021-07-18,23,False
2021-07-25,7,False
2021-08-01,0,False
2021-08-08,0,False
2021-08-15,14,False
2021-08-22,22,False
2021-08-29,15,False
2021-09-05,8,False
