date,Kaur,isPartial
2016-11-27,30,False
2016-12-04,26,False
2016-12-11,34,False
2016-12-18,39,False
2016-12-25,38,False
2017-01-01,40,False
2017-01-08,55,False
2017-01-15,30,False
2017-01-22,47,False
2017-01-29,30,False
2017-02-05,24,False
2017-02-12,40,False
2017-02-19,46,False
2017-02-26,45,False
2017-03-05,37,False
2017-03-12,29,False
2017-03-19,41,False
2017-03-26,13,False
2017-04-02,42,False
2017-04-09,100,False
2017-04-16,64,False
2017-04-23,42,False
2017-04-30,42,False
2017-05-07,35,False
2017-05-14,33,False
2017-05-21,41,False
2017-05-28,23,False
2017-06-04,34,False
2017-06-11,37,False
2017-06-18,27,False
2017-06-25,24,False
2017-07-02,37,False
2017-07-09,33,False
2017-07-16,43,False
2017-07-23,30,False
2017-07-30,40,False
2017-08-06,66,False
2017-08-13,44,False
2017-08-20,48,False
2017-08-27,34,False
2017-09-03,29,False
2017-09-10,52,False
2017-09-17,50,False
2017-09-24,45,False
2017-10-01,26,False
2017-10-08,29,False
2017-10-15,31,False
2017-10-22,50,False
2017-10-29,39,False
2017-11-05,55,False
2017-11-12,34,False
2017-11-19,31,False
2017-11-26,48,False
2017-12-03,34,False
2017-12-10,45,False
2017-12-17,30,False
2017-12-24,39,False
2017-12-31,36,False
2018-01-07,39,False
2018-01-14,33,False
2018-01-21,26,False
2018-01-28,29,False
2018-02-04,31,False
2018-02-11,50,False
2018-02-18,39,False
2018-02-25,59,False
2018-03-04,41,False
2018-03-11,51,False
2018-03-18,43,False
2018-03-25,54,False
2018-04-01,43,False
2018-04-08,35,False
2018-04-15,48,False
2018-04-22,35,False
2018-04-29,29,False
2018-05-06,21,False
2018-05-13,37,False
2018-05-20,30,False
2018-05-27,13,False
2018-06-03,48,False
2018-06-10,26,False
2018-06-17,13,False
2018-06-24,37,False
2018-07-01,39,False
2018-07-08,35,False
2018-07-15,13,False
2018-07-22,48,False
2018-07-29,24,False
2018-08-05,40,False
2018-08-12,49,False
2018-08-19,56,False
2018-08-26,28,False
2018-09-02,36,False
2018-09-09,23,False
2018-09-16,59,False
2018-09-23,55,False
2018-09-30,58,False
2018-10-07,32,False
2018-10-14,41,False
2018-10-21,41,False
2018-10-28,35,False
2018-11-04,35,False
2018-11-11,40,False
2018-11-18,21,False
2018-11-25,40,False
2018-12-02,49,False
2018-12-09,40,False
2018-12-16,39,False
2018-12-23,39,False
2018-12-30,47,False
2019-01-06,38,False
2019-01-13,41,False
2019-01-20,44,False
2019-01-27,46,False
