date,Padang Lawas,isPartial
2016-11-27,30,False
2016-12-04,12,False
2016-12-11,9,False
2016-12-18,18,False
2016-12-25,14,False
2017-01-01,18,False
2017-01-08,4,False
2017-01-15,13,False
2017-01-22,17,False
2017-01-29,9,False
2017-02-05,25,False
2017-02-12,13,False
2017-02-19,17,False
2017-02-26,17,False
2017-03-05,21,False
2017-03-12,29,False
2017-03-19,17,False
2017-03-26,21,False
2017-04-02,0,False
2017-04-09,16,False
2017-04-16,28,False
2017-04-23,21,False
2017-04-30,20,False
2017-05-07,4,False
2017-05-14,9,False
2017-05-21,23,False
2017-05-28,27,False
2017-06-04,13,False
2017-06-11,22,False
2017-06-18,9,False
2017-06-25,16,False
2017-07-02,13,False
2017-07-09,9,False
2017-07-16,22,False
2017-07-23,13,False
2017-07-30,46,False
2017-08-06,8,False
2017-08-13,9,False
2017-08-20,33,False
2017-08-27,22,False
2017-09-03,33,False
2017-09-10,20,False
2017-09-17,21,False
2017-09-24,20,False
2017-10-01,8,False
2017-10-08,16,False
2017-10-15,37,False
2017-10-22,37,False
2017-10-29,32,False
2017-11-05,24,False
2017-11-12,20,False
2017-11-19,24,False
2017-11-26,12,False
2017-12-03,32,False
2017-12-10,16,False
2017-12-17,17,False
2017-12-24,35,False
2017-12-31,17,False
2018-01-07,28,False
2018-01-14,20,False
2018-01-21,12,False
2018-01-28,29,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,20,False
2018-02-25,28,False
2018-03-04,24,False
2018-03-11,32,False
2018-03-18,24,False
2018-03-25,12,False
2018-04-01,32,False
2018-04-08,12,False
2018-04-15,16,False
2018-04-22,31,False
2018-04-29,41,False
2018-05-06,20,False
2018-05-13,21,False
2018-05-20,23,False
2018-05-27,29,False
2018-06-03,8,False
2018-06-10,14,False
2018-06-17,16,False
2018-06-24,69,False
2018-07-01,21,False
2018-07-08,7,False
2018-07-15,36,False
2018-07-22,23,False
2018-07-29,34,False
2018-08-05,44,False
2018-08-12,8,False
2018-08-19,13,False
2018-08-26,28,False
2018-09-02,20,False
2018-09-09,40,False
2018-09-16,85,False
2018-09-23,43,False
2018-09-30,27,False
2018-10-07,38,False
2018-10-14,28,False
2018-10-21,91,False
2018-10-28,11,False
2018-11-04,35,False
2018-11-11,20,False
2018-11-18,33,False
2018-11-25,27,False
2018-12-02,48,False
2018-12-09,25,False
2018-12-16,25,False
2018-12-23,22,False
2018-12-30,70,False
2019-01-06,32,False
2019-01-13,4,False
2019-01-20,44,False
2019-01-27,16,False
2019-02-03,32,False
2019-02-10,27,False
2019-02-17,38,False
2019-02-24,19,False
2019-03-03,20,False
2019-03-10,8,False
2019-03-17,11,False
2019-03-24,15,False
2019-03-31,24,False
2019-04-07,32,False
2019-04-14,48,False
2019-04-21,20,False
2019-04-28,33,False
2019-05-05,36,False
2019-05-12,35,False
2019-05-19,27,False
2019-05-26,41,False
2019-06-02,29,False
2019-06-09,36,False
2019-06-16,42,False
2019-06-23,23,False
2019-06-30,54,False
2019-07-07,46,False
2019-07-14,39,False
2019-07-21,11,False
2019-07-28,15,False
2019-08-04,27,False
2019-08-11,19,False
2019-08-18,46,False
2019-08-25,41,False
2019-09-01,37,False
2019-09-08,21,False
2019-09-15,28,False
2019-09-22,18,False
2019-09-29,18,False
2019-10-06,18,False
2019-10-13,29,False
2019-10-20,14,False
2019-10-27,25,False
2019-11-03,29,False
2019-11-10,56,False
2019-11-17,84,False
2019-11-24,56,False
2019-12-01,21,False
2019-12-08,14,False
2019-12-15,22,False
2019-12-22,58,False
2019-12-29,31,False
2020-01-05,43,False
2020-01-12,50,False
2020-01-19,43,False
2020-01-26,67,False
2020-02-02,53,False
2020-02-09,31,False
2020-02-16,35,False
2020-02-23,45,False
2020-03-01,27,False
2020-03-08,33,False
2020-03-15,25,False
2020-03-22,61,False
2020-03-29,20,False
2020-04-05,15,False
2020-04-12,12,False
2020-04-19,22,False
2020-04-26,100,False
2020-05-03,19,False
2020-05-10,33,False
2020-05-17,25,False
2020-05-24,18,False
2020-05-31,18,False
2020-06-07,12,False
2020-06-14,43,False
2020-06-21,41,False
2020-06-28,30,False
2020-07-05,14,False
2020-07-12,23,False
2020-07-19,33,False
2020-07-26,6,False
2020-08-02,26,False
2020-08-09,9,False
2020-08-16,22,False
2020-08-23,35,False
2020-08-30,32,False
2020-09-06,25,False
2020-09-13,25,False
2020-09-20,22,False
2020-09-27,14,False
2020-10-04,23,False
2020-10-11,9,False
2020-10-18,26,False
2020-10-25,41,False
2020-11-01,32,False
2020-11-08,27,False
2020-11-15,36,False
2020-11-22,30,False
2020-11-29,16,False
2020-12-06,9,False
2020-12-13,25,False
2020-12-20,34,False
2020-12-27,39,False
2021-01-03,41,False
2021-01-10,16,False
2021-01-17,34,False
2021-01-24,12,False
2021-01-31,40,False
2021-02-07,22,False
2021-02-14,19,False
2021-02-21,15,False
2021-02-28,27,False
2021-03-07,15,False
2021-03-14,24,False
2021-03-21,21,False
2021-03-28,28,False
2021-04-04,25,False
2021-04-11,45,False
2021-04-18,28,False
2021-04-25,38,False
2021-05-02,16,False
2021-05-09,26,False
2021-05-16,33,False
2021-05-23,19,False
2021-05-30,21,False
2021-06-06,9,False
2021-06-13,9,False
2021-06-20,33,False
2021-06-27,38,False
2021-07-04,46,False
2021-07-11,45,False
2021-07-18,36,False
2021-07-25,33,False
2021-08-01,69,False
2021-08-08,36,False
2021-08-15,36,False
2021-08-22,19,False
2021-08-29,34,False
2021-09-05,41,False
2021-09-12,56,False
2021-09-19,38,False
2021-09-26,29,False
2021-10-03,22,False
2021-10-10,23,False
2021-10-17,20,False
2021-10-24,48,False
2021-10-31,25,False
2021-11-07,46,False
2021-11-14,33,True
