date,Lingga,isPartial
2016-11-27,32,False
2016-12-04,44,False
2016-12-11,33,False
2016-12-18,23,False
2016-12-25,50,False
2017-01-01,45,False
2017-01-08,31,False
2017-01-15,32,False
2017-01-22,33,False
2017-01-29,24,False
2017-02-05,40,False
2017-02-12,38,False
2017-02-19,31,False
2017-02-26,30,False
2017-03-05,42,False
2017-03-12,36,False
2017-03-19,45,False
2017-03-26,35,False
2017-04-02,30,False
2017-04-09,33,False
2017-04-16,27,False
2017-04-23,30,False
2017-04-30,45,False
2017-05-07,49,False
2017-05-14,38,False
2017-05-21,41,False
2017-05-28,22,False
2017-06-04,34,False
2017-06-11,26,False
2017-06-18,21,False
2017-06-25,34,False
2017-07-02,37,False
2017-07-09,43,False
2017-07-16,36,False
2017-07-23,39,False
2017-07-30,28,False
2017-08-06,38,False
2017-08-13,23,False
2017-08-20,36,False
2017-08-27,37,False
2017-09-03,44,False
2017-09-10,39,False
2017-09-17,38,False
2017-09-24,47,False
2017-10-01,26,False
2017-10-08,29,False
2017-10-15,40,False
2017-10-22,31,False
2017-10-29,35,False
2017-11-05,35,False
2017-11-12,23,False
2017-11-19,54,False
2017-11-26,41,False
2017-12-03,46,False
2017-12-10,20,False
2017-12-17,21,False
2017-12-24,30,False
2017-12-31,28,False
2018-01-07,38,False
2018-01-14,27,False
2018-01-21,32,False
2018-01-28,45,False
2018-02-04,42,False
2018-02-11,37,False
2018-02-18,26,False
2018-02-25,32,False
2018-03-04,30,False
2018-03-11,26,False
2018-03-18,43,False
2018-03-25,33,False
2018-04-01,23,False
2018-04-08,31,False
2018-04-15,40,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,37,False
2018-05-13,33,False
2018-05-20,31,False
2018-05-27,20,False
2018-06-03,30,False
2018-06-10,29,False
2018-06-17,32,False
2018-06-24,27,False
2018-07-01,19,False
2018-07-08,31,False
2018-07-15,49,False
2018-07-22,33,False
2018-07-29,41,False
2018-08-05,36,False
2018-08-12,43,False
2018-08-19,32,False
2018-08-26,51,False
2018-09-02,35,False
2018-09-09,44,False
2018-09-16,54,False
2018-09-23,31,False
2018-09-30,52,False
2018-10-07,49,False
2018-10-14,30,False
2018-10-21,37,False
2018-10-28,32,False
2018-11-04,39,False
2018-11-11,42,False
2018-11-18,30,False
2018-11-25,40,False
2018-12-02,46,False
2018-12-09,34,False
2018-12-16,47,False
2018-12-23,35,False
2018-12-30,25,False
2019-01-06,51,False
2019-01-13,51,False
2019-01-20,32,False
2019-01-27,34,False
2019-02-03,25,False
2019-02-10,30,False
2019-02-17,36,False
2019-02-24,34,False
2019-03-03,32,False
2019-03-10,26,False
2019-03-17,42,False
2019-03-24,32,False
2019-03-31,28,False
2019-04-07,33,False
2019-04-14,21,False
2019-04-21,46,False
2019-04-28,39,False
2019-05-05,23,False
2019-05-12,33,False
2019-05-19,43,False
2019-05-26,23,False
2019-06-02,26,False
2019-06-09,21,False
2019-06-16,33,False
2019-06-23,24,False
2019-06-30,25,False
2019-07-07,28,False
2019-07-14,44,False
2019-07-21,38,False
2019-07-28,35,False
2019-08-04,35,False
2019-08-11,27,False
2019-08-18,33,False
2019-08-25,48,False
2019-09-01,53,False
2019-09-08,45,False
2019-09-15,43,False
2019-09-22,34,False
2019-09-29,47,False
2019-10-06,26,False
2019-10-13,33,False
2019-10-20,49,False
2019-10-27,27,False
2019-11-03,40,False
2019-11-10,48,False
2019-11-17,44,False
2019-11-24,48,False
2019-12-01,45,False
2019-12-08,24,False
2019-12-15,28,False
2019-12-22,25,False
2019-12-29,41,False
2020-01-05,34,False
2020-01-12,46,False
2020-01-19,33,False
2020-01-26,48,False
2020-02-02,35,False
2020-02-09,38,False
2020-02-16,29,False
2020-02-23,42,False
2020-03-01,38,False
2020-03-08,48,False
2020-03-15,65,False
2020-03-22,52,False
2020-03-29,49,False
2020-04-05,38,False
2020-04-12,42,False
2020-04-19,43,False
2020-04-26,39,False
2020-05-03,46,False
2020-05-10,88,False
2020-05-17,43,False
2020-05-24,33,False
2020-05-31,55,False
2020-06-07,77,False
2020-06-14,25,False
2020-06-21,25,False
2020-06-28,22,False
2020-07-05,37,False
2020-07-12,39,False
2020-07-19,41,False
2020-07-26,35,False
2020-08-02,68,False
2020-08-09,83,False
2020-08-16,44,False
2020-08-23,57,False
2020-08-30,78,False
2020-09-06,60,False
2020-09-13,61,False
2020-09-20,54,False
2020-09-27,77,False
2020-10-04,82,False
2020-10-11,65,False
2020-10-18,58,False
2020-10-25,37,False
2020-11-01,51,False
2020-11-08,46,False
2020-11-15,51,False
2020-11-22,72,False
2020-11-29,100,False
2020-12-06,67,False
2020-12-13,31,False
2020-12-20,27,False
2020-12-27,24,False
2021-01-03,31,False
2021-01-10,28,False
2021-01-17,32,False
2021-01-24,31,False
2021-01-31,52,False
2021-02-07,32,False
2021-02-14,45,False
2021-02-21,55,False
2021-02-28,80,False
2021-03-07,58,False
2021-03-14,71,False
2021-03-21,65,False
2021-03-28,53,False
2021-04-04,61,False
2021-04-11,27,False
2021-04-18,55,False
2021-04-25,47,False
2021-05-02,41,False
2021-05-09,24,False
2021-05-16,50,False
2021-05-23,66,False
2021-05-30,59,False
2021-06-06,59,False
2021-06-13,32,False
2021-06-20,25,False
2021-06-27,24,False
