date,Musi Banyuasin,isPartial
2016-11-27,34,False
2016-12-04,33,False
2016-12-11,12,False
2016-12-18,18,False
2016-12-25,12,False
2017-01-01,30,False
2017-01-08,17,False
2017-01-15,34,False
2017-01-22,23,False
2017-01-29,6,False
2017-02-05,40,False
2017-02-12,73,False
2017-02-19,11,False
2017-02-26,22,False
2017-03-05,28,False
2017-03-12,22,False
2017-03-19,29,False
2017-03-26,11,False
2017-04-02,6,False
2017-04-09,17,False
2017-04-16,27,False
2017-04-23,17,False
2017-04-30,11,False
2017-05-07,34,False
2017-05-14,23,False
2017-05-21,30,False
2017-05-28,6,False
2017-06-04,18,False
2017-06-11,24,False
2017-06-18,6,False
2017-06-25,21,False
2017-07-02,12,False
2017-07-09,29,False
2017-07-16,12,False
2017-07-23,17,False
2017-07-30,28,False
2017-08-06,11,False
2017-08-13,23,False
2017-08-20,22,False
2017-08-27,24,False
2017-09-03,11,False
2017-09-10,33,False
2017-09-17,11,False
2017-09-24,11,False
2017-10-01,28,False
2017-10-08,44,False
2017-10-15,16,False
2017-10-22,33,False
2017-10-29,22,False
2017-11-05,16,False
2017-11-12,5,False
2017-11-19,22,False
2017-11-26,11,False
2017-12-03,43,False
2017-12-10,28,False
2017-12-17,0,False
2017-12-24,18,False
2017-12-31,11,False
2018-01-07,22,False
2018-01-14,21,False
2018-01-21,32,False
2018-01-28,22,False
2018-02-04,0,False
2018-02-11,11,False
2018-02-18,33,False
2018-02-25,11,False
2018-03-04,27,False
2018-03-11,21,False
2018-03-18,27,False
2018-03-25,11,False
2018-04-01,16,False
2018-04-08,16,False
2018-04-15,21,False
2018-04-22,26,False
2018-04-29,27,False
2018-05-06,27,False
2018-05-13,22,False
2018-05-20,26,False
2018-05-27,33,False
2018-06-03,22,False
2018-06-10,12,False
2018-06-17,11,False
2018-06-24,5,False
2018-07-01,29,False
2018-07-08,5,False
2018-07-15,48,False
2018-07-22,25,False
2018-07-29,30,False
2018-08-05,25,False
2018-08-12,32,False
2018-08-19,17,False
2018-08-26,16,False
2018-09-02,16,False
2018-09-09,22,False
2018-09-16,31,False
2018-09-23,37,False
2018-09-30,32,False
2018-10-07,21,False
2018-10-14,37,False
2018-10-21,61,False
2018-10-28,20,False
2018-11-04,36,False
2018-11-11,37,False
2018-11-18,6,False
2018-11-25,52,False
2018-12-02,32,False
2018-12-09,28,False
2018-12-16,33,False
2018-12-23,24,False
2018-12-30,29,False
2019-01-06,16,False
2019-01-13,11,False
2019-01-20,32,False
2019-01-27,27,False
2019-02-03,26,False
2019-02-10,31,False
2019-02-17,0,False
2019-02-24,31,False
2019-03-03,5,False
2019-03-10,26,False
2019-03-17,5,False
2019-03-24,21,False
2019-03-31,27,False
2019-04-07,43,False
2019-04-14,54,False
2019-04-21,37,False
2019-04-28,16,False
2019-05-05,48,False
2019-05-12,32,False
2019-05-19,26,False
2019-05-26,22,False
2019-06-02,26,False
2019-06-09,21,False
2019-06-16,36,False
2019-06-23,36,False
2019-06-30,10,False
2019-07-07,36,False
2019-07-14,36,False
2019-07-21,31,False
2019-07-28,45,False
2019-08-04,46,False
2019-08-11,21,False
2019-08-18,31,False
2019-08-25,15,False
2019-09-01,29,False
2019-09-08,43,False
2019-09-15,48,False
2019-09-22,29,False
2019-09-29,10,False
2019-10-06,19,False
2019-10-13,20,False
2019-10-20,42,False
2019-10-27,29,False
2019-11-03,15,False
2019-11-10,47,False
2019-11-17,66,False
2019-11-24,66,False
2019-12-01,23,False
2019-12-08,33,False
2019-12-15,45,False
2019-12-22,10,False
2019-12-29,21,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,63,False
2020-01-26,52,False
2020-02-02,24,False
2020-02-09,47,False
2020-02-16,42,False
2020-02-23,55,False
2020-03-01,32,False
2020-03-08,27,False
2020-03-15,34,False
2020-03-22,65,False
2020-03-29,59,False
2020-04-05,20,False
2020-04-12,24,False
2020-04-19,47,False
2020-04-26,39,False
2020-05-03,13,False
2020-05-10,44,False
2020-05-17,28,False
2020-05-24,15,False
2020-05-31,32,False
2020-06-07,24,False
2020-06-14,18,False
2020-06-21,51,False
2020-06-28,14,False
2020-07-05,19,False
2020-07-12,13,False
2020-07-19,32,False
2020-07-26,30,False
2020-08-02,12,False
2020-08-09,12,False
2020-08-16,34,False
2020-08-23,31,False
2020-08-30,31,False
