date,Mamberamo Raya,isPartial
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,0,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,0,False
2017-01-29,0,False
2017-02-05,8,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,8,False
2017-03-05,24,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,8,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,9,False
2017-05-21,0,False
2017-05-28,0,False
2017-06-04,0,False
2017-06-11,9,False
2017-06-18,0,False
2017-06-25,10,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,8,False
2017-07-30,8,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,0,False
2017-09-03,8,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,8,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,16,False
2017-11-19,0,False
2017-11-26,8,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,0,False
2017-12-24,9,False
2017-12-31,8,False
2018-01-07,0,False
2018-01-14,8,False
2018-01-21,0,False
2018-01-28,16,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,8,False
2018-03-18,0,False
2018-03-25,8,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,8,False
2018-05-13,0,False
2018-05-20,8,False
2018-05-27,0,False
2018-06-03,8,False
2018-06-10,9,False
2018-06-17,8,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,7,False
2018-07-15,8,False
2018-07-22,15,False
2018-07-29,7,False
2018-08-05,14,False
2018-08-12,8,False
2018-08-19,0,False
2018-08-26,8,False
2018-09-02,8,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,7,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,22,False
2018-11-04,8,False
2018-11-11,8,False
2018-11-18,0,False
2018-11-25,8,False
2018-12-02,0,False
2018-12-09,16,False
2018-12-16,16,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,8,False
2019-01-27,15,False
2019-02-03,8,False
2019-02-10,7,False
2019-02-17,15,False
2019-02-24,0,False
2019-03-03,16,False
2019-03-10,0,False
2019-03-17,22,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,8,False
2019-04-14,8,False
2019-04-21,8,False
2019-04-28,8,False
2019-05-05,23,False
2019-05-12,0,False
2019-05-19,0,False
2019-05-26,8,False
2019-06-02,0,False
2019-06-09,23,False
2019-06-16,7,False
2019-06-23,22,False
2019-06-30,23,False
2019-07-07,23,False
2019-07-14,8,False
2019-07-21,15,False
2019-07-28,14,False
2019-08-04,8,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,0,False
2019-09-01,14,False
2019-09-08,0,False
2019-09-15,14,False
2019-09-22,7,False
2019-09-29,14,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,20,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,7,False
2019-12-01,0,False
2019-12-08,7,False
2019-12-15,0,False
2019-12-22,8,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,7,False
2020-01-26,7,False
2020-02-02,7,False
2020-02-09,14,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,7,False
2020-03-15,0,False
2020-03-22,6,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,100,False
2020-04-19,6,False
2020-04-26,0,False
2020-05-03,6,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,7,False
2020-05-31,6,False
2020-06-07,11,False
2020-06-14,19,False
2020-06-21,7,False
2020-06-28,0,False
2020-07-05,20,False
2020-07-12,0,False
2020-07-19,23,False
2020-07-26,18,False
2020-08-02,11,False
2020-08-09,11,False
2020-08-16,0,False
2020-08-23,45,False
2020-08-30,17,False
2020-09-06,6,False
2020-09-13,0,False
2020-09-20,0,False
2020-09-27,0,False
2020-10-04,0,False
2020-10-11,12,False
2020-10-18,0,False
2020-10-25,0,False
2020-11-01,6,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,5,False
2020-12-06,23,False
2020-12-13,18,False
2020-12-20,20,False
2020-12-27,7,False
2021-01-03,0,False
2021-01-10,6,False
2021-01-17,0,False
2021-01-24,18,False
2021-01-31,0,False
2021-02-07,12,False
2021-02-14,6,False
2021-02-21,0,False
2021-02-28,6,False
2021-03-07,6,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,6,False
2021-04-11,0,False
2021-04-18,0,False
2021-04-25,0,False
2021-05-02,0,False
2021-05-09,7,False
2021-05-16,0,False
2021-05-23,0,False
2021-05-30,0,False
2021-06-06,0,False
2021-06-13,6,False
2021-06-20,19,False
2021-06-27,25,False
2021-07-04,19,False
2021-07-11,13,False
2021-07-18,19,False
2021-07-25,12,False
2021-08-01,12,False
2021-08-08,0,False
2021-08-15,18,False
2021-08-22,12,False
2021-08-29,6,False
2021-09-05,0,False
2021-09-12,18,False
2021-09-19,18,False
2021-09-26,0,False
2021-10-03,6,False
2021-10-10,6,False
2021-10-17,0,False
2021-10-24,0,False
2021-10-31,0,False
2021-11-07,0,False
2021-11-14,0,True
