date,Mojokerto,isPartial
2016-11-27,33,False
2016-12-04,38,False
2016-12-11,35,False
2016-12-18,41,False
2016-12-25,49,False
2017-01-01,43,False
2017-01-08,37,False
2017-01-15,36,False
2017-01-22,35,False
2017-01-29,34,False
2017-02-05,35,False
2017-02-12,37,False
2017-02-19,40,False
2017-02-26,39,False
2017-03-05,38,False
2017-03-12,44,False
2017-03-19,34,False
2017-03-26,39,False
2017-04-02,38,False
2017-04-09,34,False
2017-04-16,36,False
2017-04-23,41,False
2017-04-30,39,False
2017-05-07,37,False
2017-05-14,37,False
2017-05-21,38,False
2017-05-28,35,False
2017-06-04,40,False
2017-06-11,40,False
2017-06-18,49,False
2017-06-25,50,False
2017-07-02,53,False
2017-07-09,45,False
2017-07-16,41,False
2017-07-23,39,False
2017-07-30,41,False
2017-08-06,45,False
2017-08-13,40,False
2017-08-20,35,False
2017-08-27,33,False
2017-09-03,40,False
2017-09-10,38,False
2017-09-17,42,False
2017-09-24,37,False
2017-10-01,40,False
2017-10-08,43,False
2017-10-15,41,False
2017-10-22,38,False
2017-10-29,37,False
2017-11-05,40,False
2017-11-12,50,False
2017-11-19,48,False
2017-11-26,40,False
2017-12-03,45,False
2017-12-10,44,False
2017-12-17,54,False
2017-12-24,58,False
2017-12-31,52,False
2018-01-07,42,False
2018-01-14,41,False
2018-01-21,44,False
2018-01-28,46,False
2018-02-04,45,False
2018-02-11,41,False
2018-02-18,43,False
2018-02-25,43,False
2018-03-04,41,False
2018-03-11,41,False
2018-03-18,41,False
2018-03-25,40,False
2018-04-01,43,False
2018-04-08,41,False
2018-04-15,41,False
2018-04-22,59,False
2018-04-29,51,False
2018-05-06,46,False
2018-05-13,45,False
2018-05-20,46,False
2018-05-27,44,False
2018-06-03,42,False
2018-06-10,46,False
2018-06-17,56,False
2018-06-24,56,False
2018-07-01,54,False
2018-07-08,46,False
2018-07-15,50,False
2018-07-22,41,False
2018-07-29,45,False
2018-08-05,43,False
2018-08-12,41,False
2018-08-19,41,False
2018-08-26,42,False
2018-09-02,49,False
2018-09-09,50,False
2018-09-16,49,False
2018-09-23,44,False
2018-09-30,48,False
2018-10-07,49,False
2018-10-14,54,False
2018-10-21,53,False
2018-10-28,48,False
2018-11-04,51,False
2018-11-11,48,False
2018-11-18,57,False
2018-11-25,53,False
2018-12-02,52,False
2018-12-09,47,False
2018-12-16,70,False
2018-12-23,70,False
2018-12-30,71,False
2019-01-06,54,False
2019-01-13,80,False
2019-01-20,60,False
2019-01-27,44,False
2019-02-03,56,False
2019-02-10,49,False
2019-02-17,42,False
2019-02-24,48,False
2019-03-03,52,False
2019-03-10,44,False
2019-03-17,52,False
2019-03-24,46,False
2019-03-31,46,False
2019-04-07,46,False
2019-04-14,52,False
2019-04-21,50,False
2019-04-28,52,False
2019-05-05,50,False
2019-05-12,50,False
2019-05-19,43,False
2019-05-26,52,False
2019-06-02,58,False
2019-06-09,62,False
2019-06-16,57,False
2019-06-23,56,False
2019-06-30,61,False
2019-07-07,52,False
2019-07-14,50,False
2019-07-21,46,False
2019-07-28,48,False
2019-08-04,46,False
2019-08-11,46,False
2019-08-18,45,False
2019-08-25,47,False
2019-09-01,48,False
2019-09-08,44,False
2019-09-15,45,False
2019-09-22,44,False
2019-09-29,49,False
2019-10-06,50,False
2019-10-13,56,False
2019-10-20,46,False
2019-10-27,42,False
2019-11-03,51,False
2019-11-10,53,False
2019-11-17,49,False
2019-11-24,47,False
2019-12-01,50,False
2019-12-08,49,False
2019-12-15,56,False
2019-12-22,63,False
2019-12-29,64,False
2020-01-05,50,False
2020-01-12,53,False
2020-01-19,52,False
2020-01-26,53,False
2020-02-02,50,False
2020-02-09,51,False
2020-02-16,48,False
2020-02-23,100,False
2020-03-01,77,False
2020-03-08,52,False
2020-03-15,39,False
2020-03-22,40,False
2020-03-29,35,False
2020-04-05,34,False
2020-04-12,39,False
2020-04-19,42,False
2020-04-26,41,False
2020-05-03,38,False
2020-05-10,39,False
2020-05-17,40,False
2020-05-24,47,False
2020-05-31,46,False
2020-06-07,46,False
2020-06-14,52,False
2020-06-21,53,False
2020-06-28,59,False
2020-07-05,52,False
2020-07-12,44,False
2020-07-19,40,False
2020-07-26,39,False
2020-08-02,43,False
2020-08-09,42,False
2020-08-16,47,False
2020-08-23,42,False
2020-08-30,43,False
2020-09-06,46,False
2020-09-13,36,False
2020-09-20,33,False
2020-09-27,41,False
2020-10-04,39,False
2020-10-11,38,False
2020-10-18,42,False
2020-10-25,49,False
2020-11-01,43,False
2020-11-08,44,False
2020-11-15,45,False
2020-11-22,41,False
2020-11-29,34,False
2020-12-06,51,False
2020-12-13,40,False
2020-12-20,45,False
2020-12-27,55,False
2021-01-03,41,False
2021-01-10,36,False
2021-01-17,37,False
2021-01-24,39,False
2021-01-31,39,False
2021-02-07,40,False
2021-02-14,39,False
2021-02-21,43,False
2021-02-28,37,False
2021-03-07,40,False
2021-03-14,39,False
2021-03-21,41,False
2021-03-28,43,False
2021-04-04,42,False
2021-04-11,44,False
2021-04-18,45,False
2021-04-25,44,False
2021-05-02,49,False
2021-05-09,38,False
2021-05-16,54,False
2021-05-23,47,False
2021-05-30,40,False
2021-06-06,41,False
2021-06-13,52,False
2021-06-20,46,False
2021-06-27,43,False
2021-07-04,38,False
2021-07-11,38,False
2021-07-18,33,False
2021-07-25,29,False
2021-08-01,34,False
2021-08-08,39,False
2021-08-15,38,False
2021-08-22,37,False
2021-08-29,34,False
2021-09-05,39,False
2021-09-12,38,False
2021-09-19,34,False
2021-09-26,42,False
2021-10-03,41,False
2021-10-10,40,False
2021-10-17,43,False
2021-10-24,39,False
2021-10-31,38,False
2021-11-07,41,False
2021-11-14,34,True
