date,Nagekeo,isPartial
2016-11-27,25,False
2016-12-04,24,False
2016-12-11,17,False
2016-12-18,17,False
2016-12-25,0,False
2017-01-01,35,False
2017-01-08,51,False
2017-01-15,41,False
2017-01-22,26,False
2017-01-29,8,False
2017-02-05,17,False
2017-02-12,17,False
2017-02-19,8,False
2017-02-26,16,False
2017-03-05,33,False
2017-03-12,41,False
2017-03-19,17,False
2017-03-26,8,False
2017-04-02,24,False
2017-04-09,32,False
2017-04-16,47,False
2017-04-23,8,False
2017-04-30,0,False
2017-05-07,41,False
2017-05-14,26,False
2017-05-21,54,False
2017-05-28,18,False
2017-06-04,53,False
2017-06-11,35,False
2017-06-18,18,False
2017-06-25,31,False
2017-07-02,52,False
2017-07-09,17,False
2017-07-16,62,False
2017-07-23,51,False
2017-07-30,49,False
2017-08-06,49,False
2017-08-13,17,False
2017-08-20,16,False
2017-08-27,35,False
2017-09-03,17,False
2017-09-10,40,False
2017-09-17,25,False
2017-09-24,40,False
2017-10-01,24,False
2017-10-08,32,False
2017-10-15,16,False
2017-10-22,8,False
2017-10-29,24,False
2017-11-05,24,False
2017-11-12,32,False
2017-11-19,8,False
2017-11-26,8,False
2017-12-03,8,False
2017-12-10,24,False
2017-12-17,8,False
2017-12-24,17,False
2017-12-31,17,False
2018-01-07,8,False
2018-01-14,23,False
2018-01-21,24,False
2018-01-28,8,False
2018-02-04,8,False
2018-02-11,0,False
2018-02-18,32,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,16,False
2018-03-18,39,False
2018-03-25,16,False
2018-04-01,8,False
2018-04-08,31,False
2018-04-15,31,False
2018-04-22,8,False
2018-04-29,32,False
2018-05-06,24,False
2018-05-13,25,False
2018-05-20,23,False
2018-05-27,24,False
2018-06-03,33,False
2018-06-10,27,False
2018-06-17,8,False
2018-06-24,100,False
2018-07-01,35,False
2018-07-08,65,False
2018-07-15,55,False
2018-07-22,15,False
2018-07-29,22,False
2018-08-05,22,False
2018-08-12,24,False
2018-08-19,17,False
2018-08-26,0,False
2018-09-02,48,False
2018-09-09,80,False
2018-09-16,69,False
2018-09-23,62,False
2018-09-30,54,False
2018-10-07,60,False
2018-10-14,63,False
2018-10-21,67,False
2018-10-28,22,False
2018-11-04,15,False
2018-11-11,31,False
2018-11-18,57,False
2018-11-25,23,False
2018-12-02,39,False
2018-12-09,0,False
2018-12-16,24,False
2018-12-23,17,False
2018-12-30,34,False
2019-01-06,39,False
2019-01-13,24,False
2019-01-20,40,False
2019-01-27,31,False
2019-02-03,0,False
2019-02-10,45,False
2019-02-17,8,False
2019-02-24,23,False
2019-03-03,0,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,61,False
2019-03-31,24,False
2019-04-07,47,False
2019-04-14,31,False
2019-04-21,62,False
2019-04-28,24,False
2019-05-05,31,False
2019-05-12,8,False
2019-05-19,31,False
2019-05-26,8,False
2019-06-02,48,False
2019-06-09,24,False
2019-06-16,60,False
2019-06-23,98,False
2019-06-30,30,False
2019-07-07,68,False
2019-07-14,54,False
2019-07-21,23,False
2019-07-28,22,False
2019-08-04,30,False
2019-08-11,23,False
2019-08-18,38,False
2019-08-25,15,False
2019-09-01,29,False
2019-09-08,28,False
2019-09-15,14,False
2019-09-22,43,False
2019-09-29,14,False
2019-10-06,42,False
2019-10-13,50,False
2019-10-20,34,False
2019-10-27,28,False
2019-11-03,57,False
2019-11-10,42,False
2019-11-17,48,False
2019-11-24,28,False
2019-12-01,34,False
2019-12-08,28,False
2019-12-15,59,False
