date,Lampung Selatan,isPartial
2016-11-27,10,False
2016-12-04,11,False
2016-12-11,18,False
2016-12-18,15,False
2016-12-25,19,False
2017-01-01,17,False
2017-01-08,13,False
2017-01-15,18,False
2017-01-22,14,False
2017-01-29,16,False
2017-02-05,12,False
2017-02-12,10,False
2017-02-19,16,False
2017-02-26,18,False
2017-03-05,10,False
2017-03-12,18,False
2017-03-19,16,False
2017-03-26,13,False
2017-04-02,19,False
2017-04-09,17,False
2017-04-16,16,False
2017-04-23,20,False
2017-04-30,13,False
2017-05-07,17,False
2017-05-14,11,False
2017-05-21,15,False
2017-05-28,11,False
2017-06-04,15,False
2017-06-11,11,False
2017-06-18,18,False
2017-06-25,18,False
2017-07-02,20,False
2017-07-09,9,False
2017-07-16,20,False
2017-07-23,20,False
2017-07-30,17,False
2017-08-06,20,False
2017-08-13,19,False
2017-08-20,13,False
2017-08-27,14,False
2017-09-03,8,False
2017-09-10,16,False
2017-09-17,18,False
2017-09-24,16,False
2017-10-01,8,False
2017-10-08,16,False
2017-10-15,14,False
2017-10-22,30,False
2017-10-29,18,False
2017-11-05,16,False
2017-11-12,14,False
2017-11-19,13,False
2017-11-26,15,False
2017-12-03,13,False
2017-12-10,16,False
2017-12-17,14,False
2017-12-24,18,False
2017-12-31,15,False
2018-01-07,18,False
2018-01-14,23,False
2018-01-21,23,False
2018-01-28,16,False
2018-02-04,18,False
2018-02-11,13,False
2018-02-18,13,False
2018-02-25,19,False
2018-03-04,20,False
2018-03-11,15,False
2018-03-18,21,False
2018-03-25,20,False
2018-04-01,24,False
2018-04-08,12,False
2018-04-15,24,False
2018-04-22,16,False
2018-04-29,17,False
2018-05-06,14,False
2018-05-13,12,False
2018-05-20,14,False
2018-05-27,16,False
2018-06-03,15,False
2018-06-10,13,False
2018-06-17,21,False
2018-06-24,22,False
2018-07-01,19,False
2018-07-08,17,False
2018-07-15,17,False
2018-07-22,68,False
2018-07-29,32,False
2018-08-05,25,False
2018-08-12,22,False
2018-08-19,23,False
2018-08-26,16,False
2018-09-02,26,False
2018-09-09,18,False
2018-09-16,33,False
2018-09-23,29,False
2018-09-30,27,False
2018-10-07,24,False
2018-10-14,21,False
2018-10-21,36,False
2018-10-28,29,False
2018-11-04,23,False
2018-11-11,20,False
2018-11-18,19,False
2018-11-25,27,False
2018-12-02,24,False
2018-12-09,23,False
2018-12-16,34,False
2018-12-23,100,False
2018-12-30,29,False
2019-01-06,22,False
2019-01-13,27,False
2019-01-20,27,False
2019-01-27,23,False
2019-02-03,28,False
2019-02-10,25,False
2019-02-17,17,False
2019-02-24,21,False
2019-03-03,19,False
2019-03-10,28,False
2019-03-17,28,False
2019-03-24,25,False
2019-03-31,18,False
2019-04-07,17,False
2019-04-14,33,False
2019-04-21,28,False
2019-04-28,36,False
2019-05-05,23,False
2019-05-12,18,False
2019-05-19,18,False
2019-05-26,23,False
2019-06-02,19,False
2019-06-09,23,False
2019-06-16,19,False
2019-06-23,27,False
2019-06-30,30,False
2019-07-07,22,False
2019-07-14,20,False
2019-07-21,26,False
2019-07-28,24,False
2019-08-04,18,False
2019-08-11,23,False
2019-08-18,21,False
2019-08-25,22,False
2019-09-01,25,False
2019-09-08,16,False
2019-09-15,23,False
2019-09-22,22,False
2019-09-29,23,False
2019-10-06,20,False
2019-10-13,27,False
2019-10-20,28,False
2019-10-27,20,False
2019-11-03,23,False
2019-11-10,37,False
2019-11-17,28,False
2019-11-24,11,False
2019-12-01,20,False
2019-12-08,24,False
2019-12-15,26,False
2019-12-22,26,False
2019-12-29,24,False
2020-01-05,20,False
2020-01-12,24,False
2020-01-19,31,False
2020-01-26,20,False
2020-02-02,26,False
2020-02-09,27,False
2020-02-16,26,False
2020-02-23,23,False
2020-03-01,21,False
2020-03-08,28,False
2020-03-15,27,False
2020-03-22,24,False
2020-03-29,22,False
2020-04-05,23,False
2020-04-12,23,False
2020-04-19,20,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,17,False
2020-05-17,21,False
2020-05-24,17,False
2020-05-31,22,False
2020-06-07,29,False
2020-06-14,30,False
2020-06-21,26,False
2020-06-28,22,False
2020-07-05,20,False
2020-07-12,28,False
2020-07-19,21,False
2020-07-26,22,False
2020-08-02,27,False
2020-08-09,26,False
2020-08-16,29,False
2020-08-23,19,False
2020-08-30,27,False
2020-09-06,30,False
2020-09-13,25,False
2020-09-20,24,False
2020-09-27,24,False
2020-10-04,23,False
2020-10-11,21,False
2020-10-18,27,False
2020-10-25,30,False
2020-11-01,29,False
2020-11-08,19,False
2020-11-15,22,False
2020-11-22,26,False
2020-11-29,27,False
2020-12-06,58,False
2020-12-13,18,False
2020-12-20,27,False
2020-12-27,30,False
2021-01-03,29,False
2021-01-10,23,False
2021-01-17,20,False
2021-01-24,21,False
2021-01-31,28,False
2021-02-07,24,False
2021-02-14,27,False
2021-02-21,29,False
2021-02-28,27,False
2021-03-07,24,False
2021-03-14,32,False
2021-03-21,29,False
2021-03-28,25,False
2021-04-04,29,False
2021-04-11,28,False
2021-04-18,12,False
2021-04-25,31,False
2021-05-02,23,False
2021-05-09,27,False
2021-05-16,35,False
2021-05-23,29,False
2021-05-30,27,False
2021-06-06,23,False
2021-06-13,21,False
2021-06-20,18,False
2021-06-27,30,False
2021-07-04,20,False
2021-07-11,15,False
2021-07-18,20,False
2021-07-25,27,False
2021-08-01,26,False
2021-08-08,24,False
2021-08-15,32,False
2021-08-22,15,False
2021-08-29,29,False
2021-09-05,19,False
2021-09-12,23,False
2021-09-19,26,False
2021-09-26,25,False
2021-10-03,19,False
2021-10-10,23,False
2021-10-17,20,False
2021-10-24,25,False
2021-10-31,21,False
2021-11-07,25,False
2021-11-14,15,True
